fid,lat,lon,Annual_WS,Annual_WD
"326",37.553,127.036,3.03,295.97
"327",37.59,127.002,3.2,314.67
"328",37.59,127.014,3.02,310.64
"329",37.599,127.026,2.88,306.67
"330",37.553,127.025,3.02,298.17
"331",37.543,127.025,3.1,294.57
"332",37.544,127.013,3.17,299.17
"333",37.534,127.048,3.18,280.88
"334",37.543,127.036,3.13,290.36
"335",37.543,127.048,3.13,285.21
"336",37.552,127.048,3.03,290
"337",37.534,127.059,3.15,281.48
"338",37.543,127.06,3.1,282.23
"339",37.552,127.06,3.01,284.73
"340",37.552,127.071,3.01,281.91
"341",37.562,127.048,2.95,293.42
"342",37.562,127.06,2.95,288.78
"343",37.561,127.072,2.96,284.33
"344",37.571,127.048,2.91,294.81
"345",37.571,127.06,2.92,292.43
"346",37.561,127.083,2.97,289.4
"347",37.561,127.095,3.07,311.57
"348",37.552,127.083,3.03,283.94
"349",37.543,127.083,3.09,281.44
"350",37.543,127.094,3.09,283.79
"351",37.552,127.095,3.02,294
"352",37.552,127.106,2.99,299.55
"353",37.543,127.071,3.09,280.5
"354",37.571,127.025,2.97,298.99
"355",37.571,127.037,2.92,296.02
"356",37.58,127.037,2.9,299.48
"357",37.589,127.037,2.84,305.15
"358",37.58,127.049,2.89,297.76
"359",37.58,127.06,2.9,294.76
"360",37.589,127.049,2.83,303.64
"361",37.599,127.049,2.8,303.45
"362",37.617,127.073,2.69,295.38
"363",37.617,127.084,2.73,289.88
"364",37.598,127.107,3.06,251.48
"365",37.607,127.096,2.76,279.73
"366",37.607,127.107,2.89,268.64
"367",37.617,127.096,2.71,281.57
"368",37.616,127.107,2.81,277.47
"369",37.59,126.991,3.32,321.98
"370",37.599,127.037,2.81,305.57
"371",37.608,127.037,2.73,304.2
"372",37.608,127.049,2.7,300.45
"373",37.608,127.061,2.66,294.75
"374",37.617,127.049,2.6,299.72
"375",37.617,127.061,2.62,296.64
"376",37.617,127.026,2.68,304.94
"377",37.617,127.037,2.64,303.59
"378",37.626,127.026,2.64,302.52
"379",37.626,127.038,2.56,303.64
"380",37.626,127.049,2.55,302.51
"381",37.636,127.026,2.54,297.8
"382",37.636,127.038,2.49,302.99
"383",37.635,127.049,2.54,304.29
"384",37.645,126.991,4.8,287.85
"385",37.645,127.003,3.63,289.2
"386",37.645,127.015,2.77,292.57
"387",37.645,127.026,2.49,299.11
"388",37.655,126.992,5.08,284.94
"389",37.654,127.003,3.62,287.85
"390",37.654,127.015,2.76,293.34
"391",37.664,126.992,5.29,275.73
"392",37.664,127.003,3.85,284.19
"393",37.664,127.015,2.88,292.8
"394",37.673,127.004,4.15,281.4
"395",37.673,127.015,3.16,294.64
"396",37.682,127.004,4.32,287.06
"397",37.682,127.015,3.63,299.28
"398",37.645,127.038,2.52,306.56
"399",37.654,127.026,2.58,301.94
"400",37.654,127.038,2.58,309.53
"401",37.663,127.027,2.68,302.49
"402",37.663,127.038,2.64,310.52
"403",37.663,127.05,2.65,313.26
"404",37.673,127.027,2.92,303.58
"405",37.672,127.038,2.79,311.64
"406",37.672,127.05,2.75,320.05
"407",37.645,127.05,2.55,305.19
"408",37.654,127.05,2.57,307.82
"409",37.682,127.027,3.25,302.89
"410",37.682,127.039,3,309.39
"411",37.682,127.05,2.93,321.17
"412",37.691,127.015,4.41,303.37
"413",37.691,127.027,3.74,301.02
"414",37.691,127.039,3.23,304.91
"415",37.7,127.016,5.19,296.41
"416",37.7,127.027,4.64,292.71
"417",37.626,127.061,2.6,300.71
"418",37.635,127.061,2.58,301.19
