fid,매우양호,양호,약간양호,약간불량,불량,매우불량,기타,총면적
119,9197.405,631102.911,118622.342,258360.622,0,0,0,1017283.28
120,0,650467.547,37250.031,328066.203,0,0,0,1015783.781
121,0,683080.304,48405.582,342719.368,0,0,0,1074205.2540000002
122,292986.072,533112.248,0,189565.13,0,0,0,1015663.4500000001
123,65171.504,186439.415,0,61313.941,0,0,0,312924.86
124,517923.698,502540.628,0,37984.46,0,0,0,1058448.786
125,183278.72400000002,432530.1,43277.35,263800.43799999997,0,0,0,922886.612
126,324647.853,285182.322,0,394057.337,0,0,0,1003887.5120000001
127,180095.518,16243.458999999999,0,88703.41,0,0,0,285042.387
128,0,790065.6560000001,1924.064,71750.371,0,209764.655,0,1073504.746
129,0,549763.91,28990.785000000003,492547.702,0,258.082,0,1071560.479
130,167934.132,684119.547,35705.056,183667.696,0,0,0,1071426.4309999999
131,112302.919,677744.8470000001,0,283321.529,0,0,0,1073369.295
132,0,361743.072,12086.988,554876.83,0,0,0,928706.8899999999
133,290422.21300000005,652996.079,0,130666.326,0,0,0,1074084.6180000002
134,751667.866,295381.86899999995,0,11903.059,0,0,0,1058952.794
135,858718.7,141777.025,0,194.153,0,0,0,1000689.878
136,882686.324,133591.5,0,0.239,0,0,0,1016278.063
137,161189.668,641073.577,33022.171,234645.7,0,0,0,1069931.1160000002
138,371331.096,247985.05,43836.945,367649.666,0,0,0,1030802.757
139,704938.2,234691.269,0,118238.882,0,0,0,1057868.351
140,31216.514,792286.514,0,195678.312,0,0,0,1019181.34
141,157065.975,508203.836,0,298785.605,0,0,0,964055.416
142,508753.546,227569.323,4098.586,110005.581,0,168030.027,0,1018457.063
143,88850.611,351657.266,42167.876,228446.589,0,371470.908,0,1082593.25
144,2190.702,264819.475,73.557,681425.6900000001,0,0,0,948509.424
145,79312.99,675339.914,29103.487,207229,0,0,0,990985.391
146,0,893996.934,31099.01,132545.53,0,932.931,0,1058574.405
147,1168459.031,10270.455,0,0,0,0,0,1178729.486
148,1107976.327,68910.151,0,0,0,0,0,1176886.4780000001
149,810999.321,281088.539,0,0,0,0,0,1092087.8599999999
150,981155.939,35242.463,0,0,0,0,0,1016398.402
151,874048.558,143849.98,0,0,0,0,0,1017898.538
152,1264742.102,4286.949,0,0,0,0,0,1269029.051
153,0,805311.385,12497.966,297655.817,0,0,0,1115465.168
154,0,499224.706,0,394743.071,122056.602,0,0,1016024.379
155,1179701.716,28491.126,0,0,0,0,0,1208192.842
156,357474.853,675112.007,0,19964.357,0,6287.702,0,1058838.919
157,551820.597,126874.47200000001,78147.366,56949.019,0,0,0,813791.4539999999
158,333870.655,448598.01800000004,35418.375,198270.826,0,0,0,1016157.8740000001
159,329258.714,513707.00399999996,7432.803,81556.23,0,0,0,931954.7509999998
160,183286.384,332458.931,28588.03,458002.167,0,0,0,1002335.512
161,272365.22,586437.827,22257.711,136476.555,0,0,0,1017537.3130000001
162,0,531912.017,0,557231.971,0,0,0,1089143.988
163,0,819035.2359999999,8605.279,245209.057,0,0,0,1072849.572
164,107996.198,580694.705,0,312924.29699999996,0,0,0,1001615.2
165,229569.838,707146.6680000001,0,18450.663,0,52081.485,0,1007248.654
166,134380.099,216113.099,248447.976,205655.75199999998,0,37920.832,0,842517.758
167,164741.199,375207.865,117014.583,49335.316999999995,0,0,0,706298.964
168,666294.765,256719.667,32228.466,106557.60299999999,0,11309.707,0,1073110.2079999999
169,107680.109,388136.69299999997,83284.279,232444.573,115961.196,57034.311,0,984541.161
