Entertain_tags,number,overlap_num,overlap_word
연예인,41,10,"['연예인먹방', '이재용여자관계와연예인', '인기연예인', '연예인여행', '연예인서울여행', '연예인트와이스팬', '연예인원스', '원스연예인', '연예인이혼', '연예인별거']"
공대생,40,16,"['공대생김하나', '공대생재넌', '공대생작비', '공대생변승주', '공대생펀샵투명의자', '공대생하나', '공대생급식의사랑', '김준호공대생', '공대생섭이', '공대생투보', '공대생01커플', '공대생트와이스', '가사맞추기공대생', '노래받아쓰기공대생', '공대생트와이스받아쓰기', '공대생먹방']"
신기한,40,2,"['신기한물건', '신기한과자']"
비제이,40,2,"['여비제이', '비제이지여닝']"
고든램지,39,5,"['고든램지한국', '고든램지레전드', '고든램지자막', '고든램지칭찬', '고든램지몰카']"
치킨,39,25,"['구운치킨', '치킨야식', '라이스치킨', '치킨배달', '치킨뽑기기계', '재밌는치킨게임', '인형뽑기기계치킨', '치킨뽑아먹기', '치킨깨끗하게', '치킨먹방', '치킨bbq', '치킨보겸', '치킨날개', '치킨1인1닭', '치킨뼈', '치킨빨리먹기', '치킨레전드', '치킨먹기', '치킨닭다리', '치킨밴쯔', '치킨뼈발굴', '치킨리뷰', '30시간굶고치킨', '24시간굶고치킨', '김종현치킨']"
heopop,39,0,[]
gjvkq,39,0,[]
fight,39,7,"['foodfighter', 'foodfight', 'gofighting!', 'gofighting3', 'gofighting', 'gofightings3', '몬스타엑스fighter']"
장난,39,9,"['장난감', '겜도리장난감', '뽀로로장난감애니', '뽀로로장난감', '팽이장난감', '베이블레이드장난감', '여자친구에게장난치기', '단비스장난감', '장난감총']"
감동,38,1,['감동이야기']
lol,38,1,['lol;']
실험,38,7,"['실험실', '과일실험', '수박실험', '요리실험', '인형뽑기기계실험', '병맛실험', '커플실험']"
정준하,37,0,[]
sidu,36,0,[]
국가비,36,4,"['영국남자국가비', '국가비크리스마스', '국가비브이로그', '졸리국가비']"
#youtube,36,1,['#youtuberewind']
??????????,36,20,"['???????????', '????????????', '?????????????????', '??????????????????', '????????????????', '?????????????', '???????????????', '???????????????????', '????????????????????????????', '??????????????', '????????????????????', '?????????????????????????????', '?????????????.', '????????????????????????', '?????????????????????????', '????????????3??????', '?????????????????????', '???????????????????????????????', '??????????????18+', '??.????????????']"
