Animal_tags,number,overlap_num,overlap_word
리트리버,55,9,"['래브라도리트리버', '골든리트리버', '라브라도리트리버', '리트리버수영', '리트리버세미나', '래브라도리트리버분양', '강형욱리트리버', '레브라도리트리버', '리트리버특성']"
훈련,55,3,"['동물훈련', '강아지훈련', '강형욱훈련사']"
먹이,53,2,"['개구리먹이', '올챙이먹이']"
백구,53,1,['동물농장백구']
푸들,53,0,[]
산책,53,7,"['고양이산책', '첫산책', '산책로', '공원산책', '강아지산책', '개산책', '산책가는방법']"
재밌는,52,2,"['재밌는영상', '재밌는강아지영상']"
허스키,52,1,['시베리안허스키']
asmr,52,0,[]
웰시,52,1,['웰시코기']
재미,52,2,"['재미있는동물영상', '재미있는동영상']"
시츄,52,0,[]
치와와,52,0,[]
믹스,51,5,"['믹스견', '새끼믹스견', '귀여운믹스견', '믹스견새끼', '진도믹스']"
밥,51,7,"['고양이밥그릇', '강아지밥', '계란초밥', '초밥', '연어불초밥', '불초밥', '강아지불초밥']"
친칠라,51,2,"['친칠라목욕', '동물농장친칠라']"
장난,51,2,"['장난감', '강아지장난감']"
영상,50,28,"['동물영상', '웃긴영상', '힐링영상', '귀여운영상', '재미있는동물영상', '강아지영상', '재밌는영상', '심쿵영상', '여행영상', '개영상', '인기영상', '감동영상', '아빠랑자는영상', '강아지랑같이자는영상', '웃긴영상동물', '고양이영상', '감동적인영상', '강아지동영상', '대형견동영상', '귀여운동영상', '웃긴동영상', '감동적인동영상', '재미있는동영상', '재밌는강아지영상', '안는영상', '안기는영상', '기분좋아지는영상', '행복해지는영상']"
세상에나쁜개는없다,50,0,[]
애완,50,6,"['애완동물', '애완인간', '애완견', '귀여운애완동물', '애완동물추천', '애완동물동반여행']"
식빵,50,0,[]
실화,49,0,[]
골든,49,1,['골든리트리버']
롱,49,4,"['롱헤어', '멘또롱더독', '맨또롱더독', '도롱뇽']"
미웡이,49,0,[]
희귀,49,1,['희귀화석']
티비,49,0,[]
공략,49,0,[]
beautiful,49,0,[]
레전드,49,1,['동물농장레전드']
코리안,49,0,[]
러시안,49,1,['러시안블루']
훈육,49,0,[]
졸귀,49,0,[]
터키쉬,49,0,[]
pretty,49,0,[]
팁,49,0,[]
코기,49,1,['웰시코기']
누렁,49,0,[]
토이,49,0,[]
노출,49,0,[]
이쁜,49,0,[]
황구,49,0,[]
검둥,49,0,[]
