Show_tags,number,overlap_num,overlap_word
비닐앞치마,2,0,[]
김치가게,2,0,[]
체중감소,2,0,[]
거울신경,2,0,[]
친정아빠,2,0,[]
고성,2,0,[]
손녀,2,1,['손녀공부']
어음분별력,2,0,[]
전극신호,2,0,[]
태국음식,2,0,[]
볼륨,2,0,[]
달팽이관전기자극,2,0,[]
강원원주시,2,0,[]
수저,2,0,[]
대수술,2,0,[]
인공와우수술,2,0,[]
아침잠,2,0,[]
주말,2,0,[]
남편출근,2,0,[]
치매,2,2,"['조발성치매', '아내의치매']"
우돈타니,2,0,[]
텔레비젼소리,2,0,[]
출산예정,1,0,[]
국수삶기,1,0,[]
이모부,1,0,[]
쌍둥이,1,0,[]
구들장,1,0,[]
아침준비,1,0,[]
육아전쟁,1,0,[]
설득,1,0,[]
중국어교재,1,0,[]
손녀공부,1,0,[]
수다,1,0,[]
등원버스,1,0,[]
시골마을,1,0,[]
금팔찌,1,0,[]
중국아파트,1,0,[]
점심식사,1,0,[]
시어머니의눈물,1,0,[]
편의점,1,0,[]
자전거,1,0,[]
대학보내주기,1,0,[]
약속,1,0,[]
빚보증,1,0,[]
집안일,1,0,[]
베트남며느리,1,0,[]
인천시서구,1,0,[]
다롄시,1,0,[]
1인사업,1,0,[]
용돈주기,1,0,[]
가구,1,0,[]
캄보디아며느리,1,0,[]
보수작업,1,0,[]
허락,1,0,[]
난방,1,0,[]
감옥살이,1,0,[]
여동생,1,0,[]
외출준비,1,0,[]
김치담그기,1,0,[]
하모니카,1,0,[]
사지관절,1,0,[]
gne근육병,1,0,[]
무릎관절,1,0,[]
경남김해시,1,0,[]
팥죽,1,0,[]
부산시연제구,1,0,[]
보조기,1,0,[]
공연,1,0,[]
호흡근육,1,0,[]
학위,1,0,[]
경부신경총차단,1,0,[]
갈비찜,1,0,[]
턱관절장애,1,0,[]
위장약,1,0,[]
비정형안면통증,1,0,[]
심혈관,1,0,[]
통증주사,1,0,[]
마약성진통제,1,0,[]
심정지,1,0,[]
신경절단수술,1,0,[]
응급실,1,0,[]
대구남구,1,0,[]
알림장,1,0,[]
근육퇴화,1,0,[]
자세바꿔주기,1,0,[]
기상,1,0,[]
활동보조인,1,0,[]
고구마,1,0,[]
며느리,1,3,"['며느리눈물', '베트남며느리', '캄보디아며느리']"
새우양식장,1,0,[]
호찌민시,1,0,[]
그물던지기,1,0,[]
친정뒷바라지,1,0,[]
베트남어,1,0,[]
퇴직,1,0,[]
화장품판매업,1,0,[]
촬영거부,1,0,[]
피아노,1,0,[]
고부갈등,1,0,[]
가지요리,1,0,[]
침대,1,0,[]
오해,1,0,[]
돌연변이유전자,1,0,[]
삶은달걀,1,0,[]
베개,1,0,[]
동짓날,1,0,[]
늦둥이,1,0,[]
폐활량,1,0,[]
화장,1,2,"['화장품', '화장품판매업']"
관철구축,1,0,[]
손씻기,1,0,[]
