Music_tags,number,overlap_num,overlap_word
cje&m,68,0,[]
cjenmmusic,68,0,[]
k-culture,68,1,['k-culturekoreanmusicmvmusicvideok-popkpop뮤비뮤직비디오']
멜론,64,64,"['멜론차트', '광고없는멜론차트', '광고없는멜론차트모음', '멜론차트노래모음', '20176월멜론차트', '멜론차트최신곡', '멜론실시간', '멜론실시간차트2018년', '월간멜론', '#멜론#최신음악#최신가요#실시간#노래#연속듣기#가사', '#멜론#최신가요#최신노래', '멜론실시간차트', '201712월멜론차트', '4월5주차멜론', '월간멜론top30', '멜론차트top10', '멜론4월5주차', '멜론주간인기차트', '멜론주간차트', '멜론뮤직어워즈', '멜론top100', '멜론100', '멜론top', '월간멜론top15', '멜론뮤직어워드', '2017멜론뮤직어워드', '2018년멜론차트', '월간멜론top20', '달봉tv멜론', '멜론2018', '2018멜론', '멜론실시간차트2018년5월1주차top30', '2018년4월멜론차트', '가사보기멜론차트', '가사포함멜론차트', '5월멜론차트', '4월멜론', '4월5주차멜론차트', '2018년5월멜론차트', '2018년4월5주차멜론차트', '멜론차트듣기', '5월멜론차트듣기', '4월3주차멜론', '5월2주차멜론', '4월3주차멜론차트', '5월2주차멜론차트', '4월4주차멜론', '5월멜론', '4월4주차멜론차트', '4월멜론차트', '월간멜론차트', '5월1주차멜론차트', '멜론차트2018', '??멜론2018년1월5주차최신가요멜론차트연속듣기lkpoptop20l가사모음??', '1월멜론차트', '1월5주차멜론차트', '멜론차트연속듣기', '멜론뮤직어워드2017', '멜론어워드', '나하은멜론', '멜론뮤직어워드나하은춤', '멜론뮤직어워드베스트댄스상', '171202멜론뮤직어워드', '나하은멜론뮤직어워드']"
빅히트,62,0,[]
제이플라,62,0,[]
jhope,62,0,[]
워너원,61,18,"['워너원리액션', '워너원뮤비', '워너원고', '워너원약속', '워너원춤', '워너원아이더', '워너원고제로베이스', '워너원빅뱅', '워너원가시나', '워너원커버댄스', '워너원고2', '깨바랄워너원', '워너원뱅뱅뱅', '아미고워너원', '아미고티비워너원', '워너원싸이', '워너원컷', '워너원엑소']"
wannaone,57,9,"['wannaonemv', 'wannaonedance', 'wannaonego', 'wannaonesneakers', 'wannaoneeider', 'wannaonego2', 'wannaonecute', 'wannaonecoverdance', 'boomerangwannaone']"
티저,55,11,"['트와이스티저', 'twice티저', '유빈티저', '뮤비티저', '방탄소년단티저', '방탄소년단티저해석', 'heartshaker티저', '하트셰이커티저', '방탄티저', '여자친구티저', '정세운티저']"
