People_tags,number,overlap_num,overlap_word
직캠,140,17,"['옹성우직캠', '강다니엘직캠', '교복직캠', '단체직캠', '나연직캠', '트와이스직캠', '슈가직캠', '팬사인회직캠', '4k직캠', '지민직캠', '워너원직캠', '황민현직캠', '김하온직캠', '김하온싸이퍼직캠', '태민직캠', '직캠장인강다니엘', '직캠장인']"
로이조,134,0,[]
강다니엘,128,38,"['워너원강다니엘', '강다니엘1080', '강다니엘편집본', '강다니엘cut', '강다니엘멕시카나', '강다니엘직캠', '발칙한동거강다니엘', '해피투게더강다니엘', '강다니엘노래', '강다니엘음색', '강다니엘비도오고그래서', '하성운강다니엘', '강다니엘먹방', '강다니엘부산팬콘', '강다니엘트와일라잇', '강다니엘역사', '강다니엘너함시', '강다니엘방송', '강다니엘컷', '강다니엘입덕영상', '강다니엘목소리', '#워너원#워너원고#워너원고제로베이스#강다니엘#강다니엘교포#강다니엘영어', '강다니엘김재환', '강다니엘진행', '강다니엘예능', '강다니엘모음', '#강다니엘#워너원', '강다니엘유재석', '강다니엘애교', '2017연예대상강다니엘', '강다니엘컴백쇼', '#강다니엘', '인기가요강다니엘컷', '강다니엘너목보', '직캠장인강다니엘', '강다니엘센터', '강다니엘춤', '강다니엘춤선']"
이사배,128,0,[]
윰댕,125,16,"['윰댕꽃빈', '김이브윰댕', '윰댕김이브', '윰댕김이브사건', '김이브윰댕디스공방전', '김이브윰댕디스', '윰댕김이브디스공방전', '윰댕김이브논란', '이슈왕윰댕', '김이브윰댕사건정리', '김이브윰댕싸움', '윰댕김이브갈등', '윰댕김이브디스', '윰댕김이브싸움', '김이브윰댕논란', '윰댕리즈']"
리얼사운드,124,5,"['도로시리얼사운드', '마카롱리얼사운드', '짜장면리얼사운드', '먹방리얼사운드', '병맛리얼사운드']"
악어,120,2,"['악어유튜브', '악어마인크래프트']"
뉴스,119,38,"['정오뉴스', '아침뉴스', '24시간뉴스', '247핫뉴스', '뉴스공장', '최신뉴스', '뉴스스캔들', '데일리베스트뉴스', '#아침뉴스', '#뉴스', '#연예뉴스', '#최신뉴스', '뉴스룸', '#스타뉴스', '뉴스타파', '뉴스포차', '뉴스타운', '아침뉴스오프닝', '스타뉴스', '아침뉴스타임', '뉴스2.027.637회#youtube', '엠빅뉴스', '연합뉴스', '김어준의뉴스공장', '뉴스스타', '오마이뉴스', '조세호아침뉴스', '조세호뉴스', '무한도전아침뉴스', 'kdh최신뉴스', '뉴스속보', '뉴스제로', '영국bbc뉴스의평창유감기사', '뉴스킨', '오늘의뉴스', '한국어뉴스', '비트코인뉴스', '#방탄소년단#bts#방탄미국#e뉴스#jimin']"
양띵,114,0,[]
eating,113,11,"['eatingshow', 'socialeating', 'eatingbroadcast', 'eatingsounds', 'shrimpeating', 'eatingsound', 'heartbeating', 'eatingshrimp', '#eating', '#eatingshow', 'eatingsho']"
몰카,112,3,"['개꿀잼몰카', '형제몰카', '돈몰카']"
socialeating,108,0,[]
햇님,108,3,"['입짧은햇님', '입짧은햇님먹방', '햇님먹방']"
입짧은햇님,108,1,['입짧은햇님먹방']
라면,106,35,"['라면먹방', '양념치킨컵라면', '컵라면', '신라면', '아궁이라면', '삼양라면', '딱지장라면', '대게라면', '대게딱지라면', '대게딱지장라면', '밴쯔라면먹방', '대만라면', '춘천막국수라면', '라면엔밥', '밴쯔라면', '60만원짜리라면', '금라면', '황금라면', '고급라면', '아오리라면', '삼양라면먹방', '신라면블랙', '신상라면', '농심라면', '깻잎라면', '오징어짬뽕라면', '삼양스리라차라면', '참깨라면', '만두라면', '강식당라면', '파스타라면', '우유라면', '치즈라면', '밴쯔우유라면', '우유콜라라면']"
엠브로,103,0,[]
show,103,23,"['eatingshow', '#showbiz', 'showcase', 'btscomebackshow', 'cookingshow', 'btsanpanmancomebackshowreaction', 'btscomebackshowreaction', '2018btscomebackshow', '2018btscomebackshowreaction', 'theellenshow', 'ellenshow', 'showchampion', 'lovelyzshowcase', 'talkshow', 'lateshow', 'thelateshow', 'magicshow', 'wannaonecomebackshow', 'comebackshow', 'shownu', 'theshow', '#show', '#eatingshow']"
양팡,102,0,[]
도로시,102,6,"['도로시리얼사운드', '도로시먹방', '도로시엽떡', '도로시매운', '도로시송주불냉면', '[dorothy]도로시']"
韓?大食い女性mukbang,102,0,[]
韓?大食い女性,102,1,['韓?大食い女性mukbang']
이설,102,1,['로이설']
소프,101,1,['미샤소프트5겹화장솜']
유소나,100,0,[]
외질혜,100,0,[]
러너,100,1,['러너웨이']
프란,99,3,"['프란체스카', '프란떡볶이', '프란엽떡']"
최군,98,0,[]
cover,98,16,"['coversong', 'mostpopularviolincovers', 'violincoversoflovesongs', 'violincoversmusic', 'mostpopularviolincoversofpopularsongs', 'bestinstrumentalviolincovers2018', 'violincovers', 'violincovers2018', 'violincoversofpopularsongsplaylist', 'violincoversofpopularsongs', 'mostpopularviolincoversofpopularsongs2018', 'bestinstrumentalviolincovers', 'instrumentalviolincovers2', 'coverby', 'akmucover', 'ikoncover']"
평창올림픽,97,9,"['평창올림픽선수촌', '평창올림픽선수촌아파트', '강릉평창올림픽선수촌', '평창올림픽개막식', '태극기포기한평창올림픽반대태극기집회', '평창올림픽콘돔', '평창올림픽굿즈', '평창올림픽자원봉사', '평창올림픽pyeongchangolympic']"
봉준,97,2,"['와꾸대장봉준', '김봉준']"
아침,96,15,"['아침뉴스', '#아침뉴스', '아침뉴스오프닝', '아침뉴스타임', '아침식사', ""'좋은아침'이상해김영임이혼부부싸움"", '조세호아침뉴스', '무한도전아침뉴스', '아이돌아침', '분쏘단의아침', '워너원아침', '분쏘단아침', '아이돌의아침', '워너원의아침', '아침밥']"
윽박,96,1,['최고다윽박']
사나,96,4,"['사나이', '사나이김기훈', '팔각모사나이', '트와이스사나']"
최고다윽박,95,0,[]
카카오톡,94,1,['카카오톡버드리']
김레인,94,0,[]
꽃빈,93,1,['윰댕꽃빈']
셀리,92,0,[]
