Comedy_tags,number,overlap_num,overlap_word
패러디,49,4,"['그것이알고싶다패러디', '신과함께패러디', '패러디영상', 'ppap패러디']"
카톡,48,21,"['헤어지는카톡', '소개팅카톡', '이별카톡', '카톡이야기', '카톡사연', '카톡제보', '웃소카톡상태메시지유형', '카톡역관광', '카톡상메유형시리즈', '카톡상메유형', '카톡상메심리', '카톡상메추천', '카톡사이다', '카톡상메저격', '카톡레전드', '웃소카톡상메유형', '카톡유형', '카톡상메', '카톡상태메시지유형', '카톡고백', '카톡상태메시지']"
김봉준,48,0,[]
바로그거지,48,0,[]
스님,47,0,[]
송보길,47,0,[]
벤쯔,47,2,"['벤쯔초밥', '돈스테이크벤쯔']"
유튜브,46,12,"['양팡유튜브', '유튜브라이브', '유튜브관리자', '양팡유튜브관리자', '유튜브편집자', '양팡유튜브편집자', '개그맨유튜브', '유튜브스타', '유튜브코트', '유튜브스트리밍', '유튜브생방송', '지훈유튜브']"
섹시,46,1,['섹시여캠']
하이라이트,46,3,"['양팡하이라이트', '배그하이라이트', '레전드하이라이트']"
트렌스젠더,43,0,[]
친구,42,20,"['여자친구', '남자친구', '친구에게', '난쟁이성현여자친구', '이성현여자친구', '배그친구유형', '봉준여자친구', '배그할때꼭있는친구유형', '남자친구잔소리', '잔소리많은여자친구', '여자친구만우절', '잔소리많은남자친구', '남자친구만우절', '여자친구잔소리', '10년친구', '여자친구장난', '남자친구장난', '최악의남자친구', '남자친구썰', '혼밥친구']"
치즈,41,9,"['리치즈', '치즈리뷰', '스모크치즈', '체다치즈', '고급치즈', '딥치즈쉬림프피자', '치즈그라탕', '불닭볶음면치즈', '치즈불닭']"
김이브,41,0,[]
팡튜브,41,0,[]
의자에끼인,41,1,['페북의자에끼인']
김보겸,41,0,[]
yangpang,41,1,['yangpangyoutube']
yangpangyoutube,41,0,[]
도티,41,1,['클래시로얄도티']
양팡youtube,41,0,[]
양팡유튜브,41,2,"['양팡유튜브관리자', '양팡유튜브편집자']"
엄마앞에서리액션하는,41,0,[]
와꾸대장봉준,41,0,[]
양팡,41,28,"['양팡youtube', '양팡유튜브', '양팡가족', '양팡가족시트콤', '양팡언니', '양팡현실남매', '양팡현실자매', '양팡합방', '양팡합동방송', '양팡하이라이트', '양팡남순', '양팡가족방송', '양팡가족영상', '양팡친언니리액션', '양팡세남매', '양팡봉준', '양팡유튜브관리자', '양팡유튜브편집자', '양팡남동생', '양팡짬식이', '양팡동생', '양팡엠브로', '엠브로양팡', '양팡자매', '남순양팡', '아침이좋다양팡', '양팡아침이좋다', '양팡현실누나']"
funny,40,3,"['funny매드무비', 'funnyvideo', '컴funny']"
생방송,40,2,"['코트생방송', '유튜브생방송']"
유형,39,32,"['지각유형', '웃소유형', '유형별', '학교유형', '배그할때꼭있는유형', '웃소배그유형', '웃소카톡상태메시지유형', '배그유형', '카톡상메유형시리즈', '카톡상메유형', '배그친구유형', '배그대기실유형', '상메유형', '상태메시지유형', '웃소카톡상메유형', '카톡유형', '카톡상태메시지유형', '유형별크리스마스', '웃소크리스마스유형', '10가지유형', '크리스마스유형', '배그할때유형', '배그핵유형', '배그할때꼭있는친구유형', '유형별계단내려가는방법', '계단유형', '계단내려가는유형', '계단내려갈때유형', '계단내려갈때꼭있는유형', '유형별계단', '웃소계단유형', '유형별웃소']"
카카오톡,38,2,"['이별카카오톡', '카카오톡고백']"
엄마,38,4,"['엄마앞에서리액션하는', '엄마세뱃돈', '시엄마', '친정엄마']"
가족시트콤,38,1,['양팡가족시트콤']
무튜브,37,0,[]
mutube,37,0,[]
토크쇼,36,2,"['재넌토크쇼', '방탄소년단토크쇼']"
섹시여캠,36,0,[]
물,36,33,"['민물낚시', '민물', '해물', '보물섬', '눈물', '물고기', '반려동물', '선물', '액체괴물', '물라스틱', '물풀', '동물', '물레방아', '크리스마스선물', '물놀이', '보물찾기', '보물상자', '사랑의물리학', '콧물', '해산물', '설선물', '선물증정식', '인물소개', '선물증정', '괴물', '치약물', '자일리톨물', '자일리톨물리뷰', '물가', '애완동물', '물뱀', '국물', '콩나물']"
송은이,36,1,['송은이&김숙비밀보장']
bongjun,36,0,[]
양팡가족,35,3,"['양팡가족시트콤', '양팡가족방송', '양팡가족영상']"
좋아,35,5,"['좋아해', '좋아지는', '나좋아하', '니가참좋아', '좋아요']"
양팡가족시트콤,35,0,[]
클래시로얄,35,6,"['클래시로얄전설상자', '클래시로얄상자까기', '클래시로얄버그', '클래시로얄광고', '클래시로얄도티', '클래시로얄버그판.클로얄핵']"
여자친구,34,7,"['난쟁이성현여자친구', '이성현여자친구', '봉준여자친구', '잔소리많은여자친구', '여자친구만우절', '여자친구잔소리', '여자친구장난']"
이별,34,6,"['이별카카오톡', '이별고백', '이별카톡', '이별관계', '이별여행사', '봉준이별']"
소개팅,33,5,"['소개팅매너', '소개팅카톡', '소개팅앱', '소개팅어플', '유명한소개팅']"
꽁트,33,1,['병맛꽁트']
결혼,33,4,"['사실결혼', '결혼준비', '결혼식', '봉준결혼']"
올림픽,33,5,"['평창올림픽', '동계올림픽', '평창올림픽컬링', '평창동계올림픽컬링', '평창동계올림픽']"
vivotv,32,0,[]
리얼사운드,32,3,"['연어리얼사운드', '연어초밥리얼사운드', '돈스테이크리얼사운드']"
급식,32,7,"['급식체', '급식왕', '급식충', '급식판', '급식실', '강아지급식', '강아지급식기']"
water,32,0,[]
리치,32,7,"['리치즈', '리치도못말려', '리치여동생', '리치동생', '리치가족', '머리치기', '리치날다']"
비보티비,32,0,[]
거짓말,32,0,[]
asmr,32,15,"['eatingasmr', 'tanghuluasmr', 'eatingsoundasmr', '대왕초밥asmr', '연어asmr', '연어초밥asmr', '초밥asmr', '돈스테이크asmr', '플로랄폼asmr', 'asmrsound', 'foodasmr', '노토킹asmr', 'cookingasmr', '1000도칼asmr', '천도칼asmr']"
사람,31,5,"['시골사람', '사람이사람', '사람의마음', '이름긴사람', '같이눈사람만들래?']"
웹예능,31,0,[]
가족,31,17,"['가족시트콤', '양팡가족', '양팡가족시트콤', '가족방송', '가족폭력', '가족문제', '양팡가족방송', '양팡가족영상', '가족영상', '가족리액션', '상어가족', '섭이네가족', '리치가족', '동동이가족', '김하나가족', '하나네가족', '공대생가족']"
댄스,31,5,"['댄스팀', '김지선댄스', '커버댄스', '2배속댄스', '토미오카고교댄스']"
고백,31,6,"['이별고백', '카카오톡고백', '사랑고백', '취중고백', '카톡고백', '공개고백']"
현실남매,31,1,['양팡현실남매']
수업,31,2,"['방송수업꿀팁', '수업비법']"
snl,30,0,[]
피시방,30,0,[]
시트콤,30,2,"['가족시트콤', '양팡가족시트콤']"
vivo,30,1,['vivotv']
양팡언니,30,0,[]
페북의자,30,2,"['페북의자에끼인', '페북의자녀']"
양팡현실남매,30,0,[]
양팡현실자매,30,0,[]
가족방송,30,1,['양팡가족방송']
보물섬,30,0,[]
현실자매,30,1,['양팡현실자매']
페북의자에끼인,30,0,[]
선생님,30,0,[]
페북의자녀,30,0,[]
함정,29,1,['함정에빠지다']
일등미디어,29,0,[]
웃찾사문과이과,29,0,[]
첫사랑,29,0,[]
코미디빅리그,29,0,[]
코빅,29,0,[]
woman,29,0,[]
고기,29,10,"['물고기', '소고기', '돼지고기', '닭고기', '고기튀김', '최고기', '최고기게임', '고기먹방', '고기값', '원피스고기']"
ebs,28,0,[]
아빠,28,2,"['올리아빠', '아빠세뱃돈']"
성공,28,2,"['여성공감', '남성공감']"
일상,28,3,"['섭이일상', '유튜버일상', '일상브이로그']"
바람,28,1,['영화바람']
누나,28,2,"['현실누나', '양팡현실누나']"
더블비,28,0,[]
세야,28,0,[]
남자친구,28,6,"['남자친구잔소리', '잔소리많은남자친구', '남자친구만우절', '남자친구장난', '최악의남자친구', '남자친구썰']"
마주,27,0,[]
말하고싶은말,27,0,[]
헤어지는카톡,27,0,[]
남사친꼬시기,27,0,[]
다시,27,0,[]
가정상담,27,0,[]
냉정한사랑,27,0,[]
말안한,27,0,[]
가족폭력,27,0,[]
이별카카오톡,27,0,[]
함정에빠지다,27,0,[]
이별고백,27,0,[]
여자꼬시기,27,0,[]
사실결혼,27,0,[]
가족문제,27,0,[]
내기사랑,27,0,[]
좋아해,27,0,[]
사람이사람,27,0,[]
사귀기,27,1,['여자사귀기']
부부이혼,27,0,[]
이성만나기,27,0,[]
여자사귀기,27,0,[]
비법,27,2,"['공부비법', '수업비법']"
소개,27,8,"['소개팅', '소개팅매너', '소개팅카톡', '소개팅앱', '소개팅어플', '유명한소개팅', '신상품소개', '인물소개']"
오퍼스,27,1,['해운대오퍼스']
남자꼬시기,27,0,[]
