fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시),도로(도시),일반주택지(도시),교육/군사시설(도시),유원지(임지),공공용지(도시),인공녹지(도시),하천(수계),고층주택지(도시),공업시설(도시),침엽수림(임지),암벽/석산(임지),미경지정리답(농지),보통/특수작물(농지),처리장(도시),저수지/늪(수계),자연초지(임지),발전시설(도시),공업나지(도시),인공초지(임지),경지정리답(농지),활엽수림(임지),철로(도시),골프장(임지),혼합수림(임지),가축/사육시설(도시),공원묘지(임지),과수원(농지),매립지(도시),shape_area
312,30.285714285714285,34,26,110093.027,18729759.247,739568.229,73678.018,0.0,7468.695,75230.503,304444.276,174805.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20215047.525000002
22,30.444444444444443,35,27,79536.977,6201649.948,800327.6410000001,101728.03,0.0,21859.588,58900.868,58853.855,97172.41699999999,0.0,0.0,0.0,799013.855,19670.486,0.0,0.0,0.0,0.0,0.0,18616.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8257330.133
311,32.473684210526315,36,29,178455.31699999998,18729759.247,863688.2050000001,38550.058,0.0,20917.331,0.0,0.0,242404.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88653.819,0.0,0.0,0.0,0.0,20162428.6
32,31.15625,38,27,0.0,6201649.948,34354.527,0.0,0.0,139214.677,0.0,225948.21,0.0,0.0,0.0,0.0,425840.378,2127871.7709999997,0.0,0.0,0.0,0.0,0.0,0.0,2876583.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12031462.923999999
21,35.041666666666664,39,31,77622.70999999999,6201649.948,145296.98599999998,49129.038,0.0,229472.19499999998,99428.74400000002,225948.21,94118.628,0.0,0.0,0.0,336189.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2876583.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10335439.133000001
9,31.15,34,28,26056.116,6201649.948,258659.195,0.0,0.0,21859.588,92085.961,58853.855,80100.574,0.0,0.0,0.0,1640663.7650000001,80695.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8460624.306000002
535,29.423076923076923,35,24,168460.637,6201649.948,24476.942000000003,77784.262,0.0,39980.289,15169.628,2539181.645,628767.5599999999,194523.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63365.882000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9953360.727
274,28.961038961038962,35,24,0.0,3257504.557,0.0,0.0,0.0,0.0,52337.617,2125761.201,0.0,15830.21,0.0,0.0,0.0,330684.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5782118.142
510,28.090225563909776,35,23,0.0,21785732.777,0.0,0.0,0.0,0.0,766432.696,3112743.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153240.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25818149.241
10,31.2,34,28,257534.36500000002,6201649.948,89833.588,0.0,0.0,0.0,12992.526000000002,70374.338,314369.512,81393.492,0.0,0.0,1370590.8869999999,117846.59,83787.888,110578.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8710951.290000001
511,28.771428571428572,34,23,0.0,15584030.379,0.0,0.0,0.0,0.0,1223593.521,1969229.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153240.085,0.0,0.0,0.0,0.0,468331.48900000006,0.0,0.0,0.0,0.0,19398424.967
504,31.15,34,28,72996.154,15584030.379,18553.930999999997,31529.172,0.0,212607.268,684489.2359999999,138725.072,138015.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712122.876,0.0,0.0,0.0,0.0,17593069.298
509,28.06040268456376,35,23,20811.264,6201649.948,0.0,33034.681,0.0,35802.216,55367.113999999994,3724406.593,321143.861,0.0,0.0,0.0,0.0,0.0,15206.362,0.0,0.0,0.0,0.0,96103.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10503525.354
480,31.448275862068964,35,28,1455.8429999999998,15584030.379,780936.162,388702.342,0.0,0.0,0.0,0.0,82062.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8098.066,0.0,2201939.613,0.0,0.0,0.0,0.0,19047225.060999997
505,30.705882352941178,33,28,110347.698,15584030.379,449698.01900000003,44199.335999999996,0.0,57317.87299999999,63354.716,32744.492,332398.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1328251.935,0.0,158303.02000000002,0.0,0.0,0.0,0.0,18160645.819000002
485,30.545454545454547,34,26,7004.899,15584030.379,369677.44800000003,900702.5769999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155788.233,0.0,0.0,0.0,0.0,19017203.536
