fid,lat,lon,avg_dust,max_dust,min_dust
398,37.645,127.038,55.5,57,54
292,37.626999999999995,126.979,51.0,51,51
457,37.626999999999995,126.921,52.0,52,52
293,37.626999999999995,126.991,51.0,51,51
426,37.644,127.073,50.5,51,50
435,37.663000000000004,127.073,50.5,51,50
425,37.635,127.10799999999999,51.666666666666664,52,51
420,37.626,127.084,51.0,51,51
294,37.626999999999995,127.00299999999999,51.5,52,51
295,37.626999999999995,127.014,52.0,53,51
468,37.626999999999995,126.956,52.0,52,52
543,37.626999999999995,126.96799999999999,51.5,52,51
421,37.626,127.096,51.0,51,51
422,37.635,127.073,51.5,52,51
434,37.663000000000004,127.06200000000001,50.5,51,50
378,37.626,127.02600000000001,53.0,54,52
460,37.626999999999995,126.93299999999999,52.0,52,52
379,37.626,127.038,53.5,54,53
417,37.626,127.061,52.0,52,52
381,37.635999999999996,127.02600000000001,52.5,54,51
461,37.626999999999995,126.945,52.0,52,52
380,37.626,127.04899999999999,52.5,53,52
542,37.618,126.96799999999999,51.5,52,51
454,37.618,126.90899999999999,52.0,52,52
290,37.617,127.00299999999999,51.5,52,51
459,37.618,126.944,51.5,52,51
374,37.617,127.04899999999999,53.0,54,52
377,37.617,127.037,54.5,56,53
363,37.617,127.084,50.5,51,50
367,37.617,127.096,50.5,51,50
368,37.616,127.10700000000001,50.5,51,50
541,37.618,126.956,52.0,52,52
288,37.618,126.979,51.0,51,51
458,37.618,126.93299999999999,51.5,52,51
376,37.617,127.02600000000001,54.5,56,53
455,37.618,126.921,51.5,52,51
289,37.618,126.991,51.0,51,51
395,37.673,127.015,53.0,54,52
409,37.681999999999995,127.027,53.5,54,53
291,37.617,127.014,53.5,55,52
494,37.609,126.956,52.5,53,52
287,37.608000000000004,127.014,53.5,55,52
462,37.609,126.90899999999999,52.0,52,52
284,37.608000000000004,126.979,51.0,51,51
372,37.608000000000004,127.04899999999999,53.0,54,52
451,37.609,126.921,51.5,52,51
371,37.608000000000004,127.037,54.5,56,53
453,37.609,126.944,52.0,53,51
325,37.607,127.084,50.0,51,49
366,37.607,127.10700000000001,50.0,51,49
365,37.607,127.096,49.5,50,49
540,37.609,126.96700000000001,51.5,52,51
286,37.608000000000004,127.00299999999999,51.5,52,51
450,37.6,126.944,53.0,54,52
324,37.608000000000004,127.072,51.0,52,50
280,37.599000000000004,126.979,50.5,51,50
449,37.6,126.93299999999999,52.0,53,51
452,37.609,126.93299999999999,51.5,52,51
364,37.598,127.10700000000001,49.8,51,48
544,37.599000000000004,126.96700000000001,51.5,52,51
281,37.599000000000004,126.991,50.5,51,50
285,37.608000000000004,126.991,51.0,51,51
283,37.599000000000004,127.014,52.5,55,50
573,37.598,127.061,51.5,52,51
465,37.6,126.90899999999999,52.5,53,52
329,37.599000000000004,127.02600000000001,54.0,56,52
361,37.599000000000004,127.04899999999999,52.0,53,51
493,37.599000000000004,126.956,53.0,54,52
30,37.601,126.804,51.0,51,51
322,37.598,127.084,48.5,50,47
282,37.599000000000004,127.00200000000001,51.0,52,50
27,37.592,126.804,51.0,51,51
385,37.645,127.00299999999999,49.0,50,48
