fid,lat,lon,Annual_WS,Annual_WD,fid_2,DN
"443",37.691,127.062,3.14,332.74,"20","52"
"444",37.691,127.074,3.52,345.12,"20","52"
"483",37.59,126.944,3.48,325.39,"21","54"
"450",37.6,126.944,3.34,334.06,"21","54"
"484",37.59,126.956,3.66,315,"21","54"
"493",37.599,126.956,3.46,326.25,"21","54"
"315",37.58,127.084,2.86,275.22,"22","46"
"316",37.58,127.095,3.2,251.88,"22","46"
"318",37.589,127.084,2.82,277.51,"22","46"
"319",37.589,127.095,2.86,245.27,"22","46"
"315",37.58,127.084,2.86,275.22,"23","47"
"316",37.58,127.095,3.2,251.88,"23","47"
"320",37.589,127.107,3.37,252.38,"23","47"
"318",37.589,127.084,2.82,277.51,"23","47"
"319",37.589,127.095,2.86,245.27,"23","47"
"322",37.598,127.084,2.79,285,"23","47"
"323",37.598,127.095,2.77,266.86,"23","47"
"313",37.57,127.095,3.26,319.96,"24","48"
"312",37.571,127.083,2.89,291.36,"24","48"
"315",37.58,127.084,2.86,275.22,"24","48"
"316",37.58,127.095,3.2,251.88,"24","48"
"320",37.589,127.107,3.37,252.38,"24","48"
"318",37.589,127.084,2.82,277.51,"24","48"
"319",37.589,127.095,2.86,245.27,"24","48"
"322",37.598,127.084,2.79,285,"24","48"
"364",37.598,127.107,3.06,251.48,"24","48"
"323",37.598,127.095,2.77,266.86,"24","48"
"278",37.58,127.025,2.95,302.61,"25","46"
"356",37.58,127.037,2.9,299.48,"25","46"
"355",37.571,127.037,2.92,296.02,"25","46"
"354",37.571,127.025,2.97,298.99,"25","46"
"313",37.57,127.095,3.26,319.96,"26","49"
"312",37.571,127.083,2.89,291.36,"26","49"
"315",37.58,127.084,2.86,275.22,"26","49"
"316",37.58,127.095,3.2,251.88,"26","49"
"314",37.58,127.072,2.9,288.43,"26","49"
"320",37.589,127.107,3.37,252.38,"26","49"
"318",37.589,127.084,2.82,277.51,"26","49"
"317",37.589,127.072,2.85,290.68,"26","49"
"322",37.598,127.084,2.79,285,"26","49"
"364",37.598,127.107,3.06,251.48,"26","49"
