fid,lat,lon,Annual_WS,Annual_WD,fid_2,DN
"357",37.589,127.037,2.84,305.15,"27","24"
"356",37.58,127.037,2.9,299.48,"27","24"
"371",37.608,127.037,2.73,304.2,"27","24"
"370",37.599,127.037,2.81,305.57,"27","24"
"537",37.581,127.002,3.09,311.64,"27","24"
"538",37.571,127.013,2.99,301.15,"27","24"
"539",37.58,127.014,3.01,307.54,"27","24"
"545",37.562,126.979,3.18,315,"27","24"
"546",37.553,126.99,3.36,312.04,"27","24"
"547",37.562,126.99,3.29,300.78,"27","24"
"548",37.562,127.002,3.2,293.04,"27","24"
"549",37.553,127.002,3.36,301.87,"27","24"
"550",37.553,127.013,3.17,297.77,"27","24"
"551",37.562,127.013,3.05,295.49,"27","24"
"552",37.562,127.025,3.03,298.78,"27","24"
"355",37.571,127.037,2.92,296.02,"27","24"
"555",37.544,126.99,3.23,312.2,"27","24"
"553",37.553,126.978,3.19,316.88,"27","24"
"354",37.571,127.025,2.97,298.99,"27","24"
"360",37.589,127.049,2.83,303.64,"27","24"
"361",37.599,127.049,2.8,303.45,"27","24"
"372",37.608,127.049,2.7,300.45,"27","24"
"374",37.617,127.049,2.6,299.72,"27","24"
"307",37.542,127.129,2.96,277.26,"28","31"
"303",37.552,127.13,2.98,288.67,"28","31"
"268",37.542,127.141,2.88,272.45,"28","31"
"270",37.551,127.141,2.93,282.46,"28","31"
"527",37.536,126.827,3.53,277.12,"29","24"
"528",37.536,126.838,3.48,280.28,"29","24"
"17",37.545,126.827,3.56,281.24,"29","24"
"15",37.554,126.839,3.57,280.21,"29","24"
"530",37.545,126.839,3.5,283.18,"29","24"
"335",37.543,127.048,3.13,285.21,"30","30"
"240",37.534,127.094,3.12,278.34,"31","23"
"244",37.543,127.106,3.07,285.27,"31","23"
"349",37.543,127.083,3.09,281.44,"31","23"
"350",37.543,127.094,3.09,283.79,"31","23"
"351",37.552,127.095,3.02,294,"31","23"
"348",37.552,127.083,3.03,283.94,"31","23"
"352",37.552,127.106,2.99,299.55,"31","23"
"306",37.533,127.129,2.96,274.2,"32","30"
"307",37.542,127.129,2.96,277.26,"32","30"
"303",37.552,127.13,2.98,288.67,"32","30"
"300",37.533,127.141,2.86,271.38,"32","30"
"268",37.542,127.141,2.88,272.45,"32","30"
"270",37.551,127.141,2.93,282.46,"32","30"
"301",37.533,127.152,2.82,267.93,"32","30"
"271",37.551,127.153,2.87,275.41,"32","30"
"269",37.542,127.153,2.85,268,"32","30"
"333",37.534,127.048,3.18,280.88,"33","29"
"337",37.534,127.059,3.15,281.48,"33","29"
"338",37.543,127.06,3.1,282.23,"33","29"
"335",37.543,127.048,3.13,285.21,"33","29"
"334",37.543,127.036,3.13,290.36,"33","29"
"339",37.552,127.06,3.01,284.73,"33","29"
"336",37.552,127.048,3.03,290,"33","29"
"216",37.534,127.013,3.19,299.07,"34","27"
"568",37.534,127.001,3.22,303.19,"34","27"
"332",37.544,127.013,3.17,299.17,"34","27"
"569",37.544,127.001,3.27,306.12,"34","27"
"333",37.534,127.048,3.18,280.88,"35","28"
"218",37.534,127.036,3.18,283.94,"35","28"
"337",37.534,127.059,3.15,281.48,"35","28"
"338",37.543,127.06,3.1,282.23,"35","28"
"335",37.543,127.048,3.13,285.21,"35","28"
"334",37.543,127.036,3.13,290.36,"35","28"
"326",37.553,127.036,3.03,295.97,"35","28"
"339",37.552,127.06,3.01,284.73,"35","28"
"336",37.552,127.048,3.03,290,"35","28"
"241",37.533,127.106,3.11,277.48,"36","24"
"239",37.534,127.083,3.14,279.88,"36","24"
"240",37.534,127.094,3.12,278.34,"36","24"
"244",37.543,127.106,3.07,285.27,"36","24"
"349",37.543,127.083,3.09,281.44,"36","24"
"350",37.543,127.094,3.09,283.79,"36","24"
"351",37.552,127.095,3.02,294,"36","24"
"348",37.552,127.083,3.03,283.94,"36","24"
"352",37.552,127.106,2.99,299.55,"36","24"
"347",37.561,127.095,3.07,311.57,"36","24"
"346",37.561,127.083,2.97,289.4,"36","24"
"403",37.663,127.05,2.65,313.26,"36","24"
"406",37.672,127.05,2.75,320.05,"36","24"
"407",37.645,127.05,2.55,305.19,"36","24"
"408",37.654,127.05,2.57,307.82,"36","24"
"313",37.57,127.095,3.26,319.96,"36","24"
"311",37.571,127.072,2.92,287.53,"36","24"
"312",37.571,127.083,2.89,291.36,"36","24"
"315",37.58,127.084,2.86,275.22,"36","24"
"314",37.58,127.072,2.9,288.43,"36","24"
"320",37.589,127.107,3.37,252.38,"36","24"
"318",37.589,127.084,2.82,277.51,"36","24"
"317",37.589,127.072,2.85,290.68,"36","24"
"572",37.589,127.06,2.84,298.29,"36","24"
"322",37.598,127.084,2.79,285,"36","24"
"364",37.598,127.107,3.06,251.48,"36","24"
"321",37.598,127.072,2.77,291.83,"36","24"
"323",37.598,127.095,2.77,266.86,"36","24"
"365",37.607,127.096,2.76,279.73,"36","24"
"366",37.607,127.107,2.89,268.64,"36","24"
"325",37.607,127.084,2.77,290.88,"36","24"
"373",37.608,127.061,2.66,294.75,"36","24"
"324",37.608,127.072,2.71,294.44,"36","24"
"368",37.616,127.107,2.81,277.47,"36","24"
"362",37.617,127.073,2.69,295.38,"36","24"
"363",37.617,127.084,2.73,289.88,"36","24"
"367",37.617,127.096,2.71,281.57,"36","24"
"420",37.626,127.084,2.69,294.07,"36","24"
"419",37.626,127.073,2.67,298.98,"36","24"
"421",37.626,127.096,2.68,289.45,"36","24"
"425",37.635,127.108,2.73,297.53,"36","24"
"422",37.635,127.073,2.62,299.22,"36","24"
"424",37.635,127.096,2.72,301.13,"36","24"
"423",37.635,127.084,2.65,298.92,"36","24"
"573",37.598,127.061,2.77,296.57,"36","24"
"375",37.617,127.061,2.62,296.64,"36","24"
"417",37.626,127.061,2.6,300.71,"36","24"
"418",37.635,127.061,2.58,301.19,"36","24"
"427",37.644,127.085,2.63,307.5,"36","24"
"429",37.644,127.108,2.78,305.12,"36","24"
"426",37.644,127.073,2.58,300.77,"36","24"
"428",37.644,127.096,2.84,313.41,"36","24"
"430",37.645,127.061,2.58,300.47,"36","24"
"431",37.654,127.062,2.62,303.96,"36","24"
"432",37.654,127.073,2.57,304.68,"36","24"
"433",37.654,127.085,2.7,323.75,"36","24"
"435",37.663,127.073,2.57,312.24,"36","24"
"434",37.663,127.062,2.68,312.18,"36","24"
"436",37.663,127.085,2.86,331.49,"36","24"
"437",37.672,127.062,2.76,324.44,"36","24"
"439",37.672,127.085,2.96,323.13,"36","24"
"438",37.672,127.073,2.76,324.13,"36","24"
"441",37.681,127.074,3.18,337.96,"36","24"
"442",37.681,127.085,3.28,327.82,"36","24"
"440",37.681,127.062,2.99,333.73,"36","24"
"445",37.69,127.085,3.96,325.24,"36","24"
"443",37.691,127.062,3.14,332.74,"36","24"
"444",37.691,127.074,3.52,345.12,"36","24"
"238",37.534,127.071,3.14,280.74,"37","27"
"353",37.543,127.071,3.09,280.5,"37","27"
"340",37.552,127.071,3.01,281.91,"37","27"
"333",37.534,127.048,3.18,280.88,"37","27"
"218",37.534,127.036,3.18,283.94,"37","27"
"337",37.534,127.059,3.15,281.48,"37","27"
"338",37.543,127.06,3.1,282.23,"37","27"
"334",37.543,127.036,3.13,290.36,"37","27"
"326",37.553,127.036,3.03,295.97,"37","27"
"339",37.552,127.06,3.01,284.73,"37","27"
"336",37.552,127.048,3.03,290,"37","27"
"341",37.562,127.048,2.95,293.42,"37","27"
"342",37.562,127.06,2.95,288.78,"37","27"
"304",37.561,127.13,2.94,292.36,"38","29"
"263",37.524,127.129,2.96,269.45,"38","29"
"306",37.533,127.129,2.96,274.2,"38","29"
"307",37.542,127.129,2.96,277.26,"38","29"
"303",37.552,127.13,2.98,288.67,"38","29"
"300",37.533,127.141,2.86,271.38,"38","29"
"268",37.542,127.141,2.88,272.45,"38","29"
"264",37.524,127.141,2.86,266.7,"38","29"
"270",37.551,127.141,2.93,282.46,"38","29"
"305",37.561,127.141,2.98,285.97,"38","29"
"301",37.533,127.152,2.82,267.93,"38","29"
"271",37.551,127.153,2.87,275.41,"38","29"
"272",37.561,127.153,2.93,279.25,"38","29"
"269",37.542,127.153,2.85,268,"38","29"
"87",37.517,126.896,3.43,287.09,"39","31"
"86",37.526,126.896,3.46,290.73,"39","31"
"561",37.535,126.955,3.41,298.32,"40","25"
"235",37.524,127.083,3.16,277.29,"40","25"
"237",37.524,127.106,3.12,274.16,"40","25"
"236",37.524,127.094,3.14,275.99,"40","25"
"234",37.525,127.071,3.17,278.46,"40","25"
"241",37.533,127.106,3.11,277.48,"40","25"
"239",37.534,127.083,3.14,279.88,"40","25"
"240",37.534,127.094,3.12,278.34,"40","25"
"238",37.534,127.071,3.14,280.74,"40","25"
"244",37.543,127.106,3.07,285.27,"40","25"
"353",37.543,127.071,3.09,280.5,"40","25"
"349",37.543,127.083,3.09,281.44,"40","25"
"348",37.552,127.083,3.03,283.94,"40","25"
"340",37.552,127.071,3.01,281.91,"40","25"
"352",37.552,127.106,2.99,299.55,"40","25"
"343",37.561,127.072,2.96,284.33,"40","25"
"346",37.561,127.083,2.97,289.4,"40","25"
"554",37.535,126.99,3.26,303,"40","25"
"556",37.535,126.978,3.29,298.69,"40","25"
"559",37.544,126.967,3.24,303.51,"40","25"
"557",37.544,126.978,3.19,308.69,"40","25"
"560",37.535,126.966,3.34,296.57,"40","25"
"562",37.525,126.978,3.38,292.16,"40","25"
"564",37.526,126.966,3.43,288.95,"40","25"
"479",37.544,126.943,3.42,307.83,"40","25"
"477",37.572,126.944,3.47,334.6,"40","25"
"480",37.563,126.955,3.32,319.43,"40","25"
"478",37.572,126.955,3.49,322.93,"40","25"
"482",37.581,126.955,3.69,318.86,"40","25"
"4",37.581,126.967,3.43,314.06,"40","25"
"5",37.572,126.967,3.29,318.12,"40","25"
"3",37.59,126.967,3.56,315.48,"40","25"
"485",37.563,126.943,3.37,325.48,"40","25"
"486",37.553,126.943,3.33,317.39,"40","25"
"496",37.553,126.955,3.27,313.19,"40","25"
"497",37.544,126.955,3.31,305.29,"40","25"
"544",37.599,126.967,3.6,324.27,"40","25"
"558",37.553,126.967,3.19,312.22,"40","25"
"245",37.542,127.118,3.03,282.4,"40","25"
"243",37.533,127.118,3.05,276.22,"40","25"
"302",37.552,127.118,2.96,294.71,"40","25"
"377",37.617,127.037,2.64,303.59,"40","25"
"288",37.618,126.979,4.03,327.35,"40","25"
"289",37.618,126.991,3.93,313.16,"40","25"
"379",37.626,127.038,2.56,303.64,"40","25"
"378",37.626,127.026,2.64,302.52,"40","25"
"293",37.627,126.991,4.38,307.77,"40","25"
"292",37.627,126.979,4.65,321.89,"40","25"
"381",37.636,127.026,2.54,297.8,"40","25"
"382",37.636,127.038,2.49,302.99,"40","25"
"296",37.636,126.991,4.7,296.82,"40","25"
"386",37.645,127.015,2.77,292.57,"40","25"
"387",37.645,127.026,2.49,299.11,"40","25"
"390",37.654,127.015,2.76,293.34,"40","25"
"391",37.664,126.992,5.29,275.73,"40","25"
"392",37.664,127.003,3.85,284.19,"40","25"
"393",37.664,127.015,2.88,292.8,"40","25"
"394",37.673,127.004,4.15,281.4,"40","25"
"395",37.673,127.015,3.16,294.64,"40","25"
"396",37.682,127.004,4.32,287.06,"40","25"
"397",37.682,127.015,3.63,299.28,"40","25"
"399",37.654,127.026,2.58,301.94,"40","25"
"403",37.663,127.05,2.65,313.26,"40","25"
"405",37.672,127.038,2.79,311.64,"40","25"
"406",37.672,127.05,2.75,320.05,"40","25"
"407",37.645,127.05,2.55,305.19,"40","25"
"408",37.654,127.05,2.57,307.82,"40","25"
"409",37.682,127.027,3.25,302.89,"40","25"
"410",37.682,127.039,3,309.39,"40","25"
"411",37.682,127.05,2.93,321.17,"40","25"
"412",37.691,127.015,4.41,303.37,"40","25"
"413",37.691,127.027,3.74,301.02,"40","25"
"414",37.691,127.039,3.23,304.91,"40","25"
"415",37.7,127.016,5.19,296.41,"40","25"
"416",37.7,127.027,4.64,292.71,"40","25"
"380",37.626,127.049,2.55,302.51,"40","25"
"311",37.571,127.072,2.92,287.53,"40","25"
"312",37.571,127.083,2.89,291.36,"40","25"
"359",37.58,127.06,2.9,294.76,"40","25"
"314",37.58,127.072,2.9,288.43,"40","25"
"317",37.589,127.072,2.85,290.68,"40","25"
"572",37.589,127.06,2.84,298.29,"40","25"
"373",37.608,127.061,2.66,294.75,"40","25"
"362",37.617,127.073,2.69,295.38,"40","25"
"419",37.626,127.073,2.67,298.98,"40","25"
"573",37.598,127.061,2.77,296.57,"40","25"
"284",37.608,126.979,3.77,326.91,"40","25"
"279",37.581,126.979,3.17,316.42,"40","25"
"8",37.59,126.979,3.35,323.18,"40","25"
"280",37.599,126.979,3.64,325.62,"40","25"
"281",37.599,126.991,3.58,317.78,"40","25"
"285",37.608,126.991,3.71,313.35,"40","25"
"330",37.553,127.025,3.02,298.17,"40","25"
"326",37.553,127.036,3.03,295.97,"40","25"
"357",37.589,127.037,2.84,305.15,"40","25"
"356",37.58,127.037,2.9,299.48,"40","25"
"546",37.553,126.99,3.36,312.04,"40","25"
"549",37.553,127.002,3.36,301.87,"40","25"
"550",37.553,127.013,3.17,297.77,"40","25"
"551",37.562,127.013,3.05,295.49,"40","25"
"552",37.562,127.025,3.03,298.78,"40","25"
"355",37.571,127.037,2.92,296.02,"40","25"
"555",37.544,126.99,3.23,312.2,"40","25"
"569",37.544,127.001,3.27,306.12,"40","25"
"571",37.562,127.037,2.95,297.09,"40","25"
"341",37.562,127.048,2.95,293.42,"40","25"
"342",37.562,127.06,2.95,288.78,"40","25"
"354",37.571,127.025,2.97,298.99,"40","25"
"345",37.571,127.06,2.92,292.43,"40","25"
"344",37.571,127.048,2.91,294.81,"40","25"
"358",37.58,127.049,2.89,297.76,"40","25"
"360",37.589,127.049,2.83,303.64,"40","25"
"361",37.599,127.049,2.8,303.45,"40","25"
"372",37.608,127.049,2.7,300.45,"40","25"
"540",37.609,126.967,3.56,335.02,"40","25"
"374",37.617,127.049,2.6,299.72,"40","25"
"375",37.617,127.061,2.62,296.64,"40","25"
"542",37.618,126.968,3.91,337.12,"40","25"
"417",37.626,127.061,2.6,300.71,"40","25"
"543",37.627,126.968,4.66,335.01,"40","25"
"418",37.635,127.061,2.58,301.19,"40","25"
"383",37.635,127.049,2.54,304.29,"40","25"
"430",37.645,127.061,2.58,300.47,"40","25"
"437",37.672,127.062,2.76,324.44,"40","25"
"442",37.681,127.085,3.28,327.82,"40","25"
"440",37.681,127.062,2.99,333.73,"40","25"
"445",37.69,127.085,3.96,325.24,"40","25"
"443",37.691,127.062,3.14,332.74,"40","25"
"444",37.691,127.074,3.52,345.12,"40","25"
"245",37.542,127.118,3.03,282.4,"41","28"
"243",37.533,127.118,3.05,276.22,"41","28"
"302",37.552,127.118,2.96,294.71,"41","28"
"304",37.561,127.13,2.94,292.36,"41","28"
"263",37.524,127.129,2.96,269.45,"41","28"
"306",37.533,127.129,2.96,274.2,"41","28"
"307",37.542,127.129,2.96,277.26,"41","28"
"303",37.552,127.13,2.98,288.67,"41","28"
"262",37.515,127.141,2.87,260.94,"41","28"
"264",37.524,127.141,2.86,266.7,"41","28"
"305",37.561,127.141,2.98,285.97,"41","28"
"274",37.57,127.153,3,282.7,"41","28"
"301",37.533,127.152,2.82,267.93,"41","28"
"271",37.551,127.153,2.87,275.41,"41","28"
"272",37.561,127.153,2.93,279.25,"41","28"
"269",37.542,127.153,2.85,268,"41","28"
"276",37.551,127.164,2.88,270.78,"41","28"
"273",37.56,127.165,2.9,274.57,"41","28"
"519",37.517,126.862,3.47,286.48,"42","25"
"516",37.518,126.827,3.59,276.76,"42","25"
"517",37.517,126.838,3.53,278.94,"42","25"
"518",37.517,126.85,3.4,282.22,"42","25"
"523",37.527,126.862,3.47,286.89,"42","25"
"522",37.527,126.85,3.45,282.58,"42","25"
"521",37.527,126.838,3.43,274.09,"42","25"
"527",37.536,126.827,3.53,277.12,"42","25"
"528",37.536,126.838,3.48,280.28,"42","25"
"529",37.536,126.85,3.46,286.41,"42","25"
"532",37.536,126.862,3.45,290.31,"42","25"
"33",37.546,126.792,3.8,289.43,"42","25"
"19",37.545,126.804,3.77,286.61,"42","25"
"17",37.545,126.827,3.56,281.24,"42","25"
"16",37.545,126.815,3.67,282.67,"42","25"
"15",37.554,126.839,3.57,280.21,"42","25"
"14",37.554,126.827,3.6,280.48,"42","25"
"20",37.555,126.804,3.76,287.59,"42","25"
"18",37.555,126.815,3.67,283.48,"42","25"
"36",37.555,126.792,3.81,290.09,"42","25"
"22",37.564,126.816,3.65,286.16,"42","25"
"9",37.564,126.827,3.64,283.91,"42","25"
"10",37.564,126.839,3.64,283.13,"42","25"
"32",37.564,126.792,3.8,289.52,"42","25"
"21",37.564,126.804,3.73,287.92,"42","25"
"24",37.573,126.816,3.63,291.26,"42","25"
"11",37.573,126.827,3.62,289.51,"42","25"
"23",37.573,126.804,3.71,291.35,"42","25"
"12",37.573,126.839,3.68,287.54,"42","25"
"530",37.545,126.839,3.5,283.18,"42","25"
"531",37.545,126.85,3.46,285.59,"42","25"
"534",37.554,126.85,3.53,281.63,"42","25"
"535",37.564,126.851,3.61,284.84,"42","25"
"2",37.517,126.885,3.45,287.77,"43","30"
"87",37.517,126.896,3.43,287.09,"43","30"
"74",37.517,126.908,3.39,286.92,"43","30"
"75",37.526,126.908,3.45,290.58,"43","30"
"88",37.526,126.885,3.47,290.76,"43","30"
"86",37.526,126.896,3.46,290.73,"43","30"
"89",37.535,126.897,3.5,293.85,"43","30"
"82",37.535,126.908,3.53,295.42,"43","30"
"116",37.536,126.885,3.48,292.36,"43","30"
"113",37.508,126.908,3.36,282.85,"44","29"
"47",37.508,126.896,3.4,283.5,"44","29"
"2",37.517,126.885,3.45,287.77,"44","29"
"87",37.517,126.896,3.43,287.09,"44","29"
"74",37.517,126.908,3.39,286.92,"44","29"
"75",37.526,126.908,3.45,290.58,"44","29"
"88",37.526,126.885,3.47,290.76,"44","29"
"86",37.526,126.896,3.46,290.73,"44","29"
"89",37.535,126.897,3.5,293.85,"44","29"
"82",37.535,126.908,3.53,295.42,"44","29"
"116",37.536,126.885,3.48,292.36,"44","29"
"106",37.506,127.047,3.14,275.75,"45","24"
"174",37.516,127.048,3.14,277.22,"45","24"
"175",37.515,127.059,3.11,275.59,"45","24"
