fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시)_비율,도로(도시)_비율,일반주택지(도시)_비율,교육/군사시설(도시)_비율,유원지(임지)_비율,공공용지(도시)_비율,인공녹지(도시)_비율,하천(수계)_비율,고층주택지(도시)_비율,공업시설(도시)_비율,침엽수림(임지)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,처리장(도시)_비율,저수지/늪(수계)_비율,자연초지(임지)_비율,발전시설(도시)_비율,공업나지(도시)_비율,인공초지(임지)_비율,경지정리답(농지)_비율,활엽수림(임지)_비율,철로(도시)_비율,골프장(임지)_비율,혼합수림(임지)_비율,가축/사육시설(도시)_비율,공원묘지(임지)_비율,과수원(농지)_비율,매립지(도시)_비율,순수양호,순수불량,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele,label,b_sum,g_sum
281,30.0952381,33,27,0.032733231,50.13607477,1.376435858,0,0,0.046555183,0,0,0,0,48.40820096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014431.555,0,100,0,3.58,3.07,0.51,50.5,51,50,284,70,143.4830508,118,214,3,1.409169088,48.40820096
361,31.06451613,35,27,0.118705929,90.20195732,2.49130712,1.535404633,0,0.77423211,0.091547668,0.074529061,0.31047018,0,4.401845976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898843.025,198400.195,81.91830294,18.08169706,2.8,2.44,0.36,52,53,51,125,24,55.81875,160,101,1,4.455887862,4.493393644
364,29.86666667,33,25,0.217340116,75.38284203,2.405205376,0.604811093,0,0.066914168,0.075140474,0,0.950345143,0,1.673045706,0,0,0.759584039,0,0,0,0,0,0,0,0,1.361739445,0,14.52179803,0,1.981234379,0,0,949875.915,336996.164,73.812769,26.187231,3.06,2.72,0.34,49.8,51,48,260,24,90.00617284,162,236,1,4.177701729,16.26998421
323,32.5,35,31,0.359260621,88.18237155,3.469097911,0.194331614,0,0.392179302,0.00189482,0,1.418904842,0.239716566,4.149288585,0,0,0,0,0,0,0,0,0,0,0,1.592954185,0,0,0,0,0,0,483365.45,532576.785,47.57804463,52.42195537,2.77,2.52,0.25,48,49,47,40,19,26.7654321,81,21,0,5.681311556,4.151183406
322,33.23076923,35,31,0.781080609,88.80839068,3.902144014,0.325986621,0,0,0,0,0.196082135,0.057194998,4.178744972,0,0,0.053070362,0,0,0,0,0,0,0,0,1.697305613,0,0,0,0,0,0,211589.767,802855.191,20.85768827,79.14231173,2.79,2.41,0.38,48.5,50,47,37,14,22.4,70,23,0,5.262488376,4.178744972
573,33,37,29,0,87.05651438,5.136484858,2.940882396,0,0,0.350243917,0,0.171807273,0,4.248348693,0,0,0,0,0,0,0,0,0,0,0,0.095718483,0,0,0,0,0,0,988255.501,83566.733,92.2033029,7.796697097,2.77,2.4,0.37,51.5,52,51,61,14,28.10204082,98,47,3,8.249174527,4.59859261
321,31.57692308,35,29,0.184089859,91.23824121,3.881470464,0.073904149,0,1.052782862,0.661446791,1.453200933,0.848039031,0.133407728,0,0,0,0,0,0,0,0,0,0,0,0,0.473416972,0,0,0,0,0,0,235181.999,656966.756,26.36129879,73.63870121,2.77,2.37,0.4,50,51,49,20,10,14.79069767,43,10,0,5.120911231,0.661446791
27,28.2,33,23,0,66.63372798,0.436456504,0,0,0,3.001056241,7.191125532,0,0,0,0,0.676311044,7.846729508,0,0,0,0,0,0,1.061823456,11.3635172,1.789252534,0,0,0,0,0,0,714766.709,283187.727,70.82028155,28.05871385,3.68,3.13,0.55,51,51,51,74,3,13.85981308,107,71,1,0.436456504,14.36457345
28,27.13636364,33,23,0,71.53682612,0,0,0,0,1.717354601,22.85204099,0,0,0,0,0.726075923,0.615628422,0,0,0.631163148,0,0,0,0,0,1.920910795,0,0,0,0,0,0,758795.972,0,100,0,3.62,3.14,0.48,51,51,51,13,3,7.463414634,41,10,1,0,2.348517749
483,23.37820513,31,16,0.24605604,51.53781903,2.910056401,0.112906068,0,0,0,0.076256265,0.695814115,0,44.36548214,0,0,0,0,0,0,0,0,0,0,0,0,0.055609949,0,0,0,0,0,819498.677,240279.855,77.32735211,22.67264789,3.48,3.09,0.39,53.5,54,53,113,33,56.28057554,139,80,1,3.964832624,44.36548214
466,29.87142857,34,26,0,80.38028022,5.699222897,0.31675921,0,0,0,0,0.50784176,0,13.09589591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252207.245,70527.969,94.66802061,5.33197939,3.24,2.87,0.37,52.5,53,52,124,11,49.28,150,113,3,6.523823867,13.09589591
463,30.5625,34,26,0.240122803,89.67182998,9.294119115,0.422260964,0,0.091877846,0,0.269919749,0.009869544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040488.408,0,100,0,3.27,2.91,0.36,52.5,53,52,181,14,67.2,100,167,3,9.966372427,0
464,29.5,33,25,0.235506224,87.58828512,3.851758372,0.188193658,0,0.310360682,0,0,0.442180384,0,7.289206707,0,0,0,0,0,0,0,0,0,0,0,0,0.094508851,0,0,0,0,0,1053040.341,19209.722,98.20846623,1.791533772,3.34,2.95,0.39,52.5,53,52,212,31,106.6849315,146,181,3,4.717638638,7.289206707
446,30.18823529,37,24,0.376856386,74.19961212,4.526135601,0.166375956,0,0.389833194,0.595337856,0.118106512,0,0.301470451,13.28855218,0,0.652493957,2.500732687,0,0,0,0,0,0,0,0,2.880454704,0,0.004038391,0,0,0,0,1424601.422,234497.722,85.86596088,14.13403912,3.4,2.86,0.54,53.5,54,53,100,7,24.97887324,142,93,3,5.370838394,13.88792843
484,24.40425532,32,18,0,51.85284901,2.232476461,0,0,0,0,0.060663326,0.1842105,0,45.58412499,0.085675712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015275.083,728.907,99.92825747,0.071742533,3.66,3.17,0.49,52.5,54,51,285,52,166.4057971,138,233,3,2.416686962,45.58412499
3,31,36,26,0.10101342,46.51037385,2.068788826,0.293678388,0,0,0.013193335,0,0.148923202,0,50.78718056,0.076848418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939750.093,74802.088,92.62708322,7.372916781,3.56,3.13,0.43,50.5,52,49,307,49,127.9271523,151,258,3,2.612403837,50.8003739
8,30,33,26,0,50.4871939,0.353689793,0.410684327,0,0.077340363,0,0,0,0,48.67109162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877591.213,179574.254,83.01360954,16.98639046,3.35,3.05,0.3,50,51,49,301,52,127.5068493,146,249,1,0.76437412,48.67109162
369,30.58974359,35,26,0.052645304,80.77369921,2.765873723,0.456700864,0,0.175557271,0,0,0.066009216,0,15.70951442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003264.123,12785.931,98.74160422,1.25839578,3.32,2.95,0.37,49,50,48,177,38,97.17322835,127,139,3,3.341229106,15.70951442
327,32.65,36,30,0,94.88796133,3.455143392,0.703828225,0,0.045469328,0,0,0,0,0.907597729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973006.39,37342.636,96.30398654,3.696013461,3.2,2.78,0.42,49,50,48,120,35,58.87022901,131,85,3,4.158971616,0.907597729
328,33.47368421,36,30,0.524707485,92.59110567,3.578440787,0.493676657,0,0.162966232,0.002881,0,1.969523799,0,0.676698371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705292.962,332982.335,67.92928273,32.07071727,3.02,2.63,0.39,50,52,48,114,23,42.55084746,118,91,1,6.566348727,0.679579371
231,32.61538462,36,29,0.152401326,90.93801723,2.724428239,2.830852417,0,0.320015448,0.016977098,0.026080946,0.471952561,0,2.519274737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761884.805,294167.276,72.14462418,27.85537582,2.93,2.56,0.37,50.5,53,48,122,23,56.06428571,140,99,1,6.179634544,2.536251836
360,32.72727273,37,29,0.07181265,89.63667015,1.935586353,1.619541506,0.450572836,1.354528892,0.090973948,0.074061994,0.391991653,0,4.374260021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916492.106,154212.554,85.59709696,14.40290304,2.83,2.49,0.34,51,52,50,58,15,33.52631579,133,43,1,4.018932162,4.915806805
357,33.7,38,30,0.063960818,87.10878538,3.006350867,1.826705625,0,1.191187988,0.08840835,0.09287359,0.424760082,0,6.195008631,0,0,0,0,0,0,0,0,0.001958666,0,0,0,0,0,0,0,0,0,889616.306,201558.877,81.52827519,18.47172481,2.84,2.5,0.34,50,52,48,75,15,29.36708861,79,60,1,5.321777391,6.285375646
447,28.98717949,34,24,0.083966304,78.18121769,3.966409551,0.075636438,0,0,0.188211513,0,0.37186316,0.32070764,12.73761533,0,0,1.996420962,0,0,0,0.238862825,0,0,0,0,1.839088592,0,0,0,0,0,0,1041820.326,299831.125,77.65208506,22.34791494,3.37,2.84,0.53,53.5,54,53,152,11,51.42857143,133,141,1,5.057445917,12.92582684
318,32.90909091,34,30,1.896402166,91.62283716,3.968793279,0.118934453,0,0,0.046194152,0,0.453422257,0.08387347,0,0,0,0,0,0,0,0,0,0,0,0,1.80954306,0,0,0,0,0,0,118327.666,895539.074,11.67092886,88.32907114,2.82,2.39,0.43,47.5,49,46,27,13,20.27272727,55,14,0,6.521425625,0.046194152
317,31.42424242,34,28,0.623874713,90.53799605,2.997160419,0.599578948,0,0.372821703,0.543307729,1.564240255,0.658759176,0,1.863224367,0,0,0,0,0,0,0,0,0,0,0,0.239036646,0,0,0,0,0,0,373820.67,520473.367,41.80064437,58.19935563,2.85,2.39,0.46,50,51,49,41,9,17.21428571,56,32,0,4.879373255,2.406532096
572,32.43243243,36,29,0.33601521,89.5266981,7.184146082,2.316663601,0,0,0,0,0.32004847,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316428539,0,0,0,0,0,0,658350.646,359233.526,64.69741414,35.30258586,2.84,2.45,0.39,51,51,51,72,14,28.2952381,105,58,1,10.15687336,0
320,27.09090909,32,21,0.094268493,79.47088105,2.244093568,0.124151121,0.241132955,0,0,0,0,0,0.138563488,0,0,0.288911446,0,0,0,0,0,0,0,0,0,0,15.30932044,0,2.088677442,0,0,1041445.596,71333.391,93.58961736,6.41038264,3.37,2.91,0.46,48.5,50,47,268,28,159.4378698,169,240,3,2.462513182,15.68901688
26,27.8372093,32,23,0.18339084,66.0460077,0.14007823,0,0,0.802929874,0.114899426,14.40948399,0.57828927,0,2.361791144,0,0.670345871,0,1.506032047,0,0,0,0,0,0,11.26328914,1.923462468,0,0,0,0,0,0,910705.02,103954.339,89.75475483,10.24524517,3.57,3.09,0.48,50.5,51,50,55,3,18.6557377,122,52,1,2.407790387,13.73997971
13,27.49180328,33,23,0,57.17253025,0,0,0,0,0.157945605,35.88204578,0,0,2.044477484,0,0,0.184189665,3.46602109,0,0.884966704,0.207823424,0,0,0,0,0,0,0,0,0,0,0,601215.993,154109.909,79.59689869,20.40310131,3.62,3.09,0.53,50.5,51,50,14,3,8.245901639,61,11,2,3.673844514,3.087389793
25,29.47058824,36,25,0,54.65921215,1.441171083,0,0,0,0.24930187,2.452365379,0,0.254369529,0,0,2.774119419,1.403853612,0,0,0,0,0,0.138639222,25.83783656,9.321418996,1.467712175,0,0,0,0,0,0,737965.058,468980.869,58.265317,37.02793066,3.68,3.14,0.54,50.5,51,50,109,8,44.81325301,166,101,1,1.695540612,9.709360088
319,27.32653061,34,21,0.417661415,79.3014816,4.402121949,0.334444537,0,0.122976548,0,0,0,0.144626723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.27668722,0,0,0,0,535855.426,478710.147,52.81624375,47.18375625,2.86,2.62,0.24,47,48,46,129,20,40.04032258,124,109,0,5.298854624,15.27668722
467,31.31818182,34,28,0.24175239,79.2874825,6.479766375,0.259936244,0,0,0,0.436084786,0.377125027,0,12.91785268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057412.378,14824.409,98.61743141,1.382568587,3.33,2.85,0.48,53.5,54,53,56,10,22.62204724,127,46,3,7.358580036,12.91785268
279,25.22772277,34,17,0.070563121,78.11195889,3.247405021,0.635395925,2.10044289,0.530405767,0.012514921,0,0,0,15.29131347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32841.201,981831.511,3.236629961,96.76337004,3.17,2.84,0.33,48,49,47,82,34,49.52173913,115,48,0,3.953364066,17.40427128
4,31.25,35,28,0.179524727,83.846195,2.882265958,0.867080161,0,0,0,0,0.215179364,0,11.18228609,0.827468706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834528.013,222763.284,78.93075592,21.06924408,3.43,2.93,0.5,49,51,47,190,35,72.98373984,123,155,1,4.144050209,11.18228609
481,26.96808511,31,21,0.182127814,82.85761564,3.422437803,0.193559931,0,0.028174687,0,0.180689128,0.578554167,0,1.485823719,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07101711,0,0,0,0,840405.385,152663.862,84.6270678,15.3729322,3.57,3.24,0.33,52.5,53,52,273,34,110.0878378,148,239,1,4.376679715,12.55684083
482,29.75862069,33,26,0,76.91015206,2.654365628,0,0,0,0,0,0.875508834,0,8.524608815,0.759017675,0,0,0,0,0,0,0,0,0,0,0,0,10.27634699,0,0,0,0,1016170.288,0,100,0,3.69,3.19,0.5,51,53,49,308,55,147.0714286,140,253,3,3.529874462,18.80095581
537,24.65605096,35,14,0.264891398,94.18300177,2.175351148,0.723168796,1.896198937,0.577824595,0,0,0.099367211,0,0.080196142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096486.798,20455.282,98.16863539,1.831364613,3.09,2.74,0.35,46.5,48,45,97,25,43,139,72,3,3.262778553,1.976395079
491,32.5,35,31,0.260989109,89.36968363,8.956868305,0.851336166,0,0,0,0.182416445,0.378706341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068741.705,0,100,0,3.32,2.91,0.41,53.5,54,53,101,16,39.00813008,123,85,3,10.44789992,0
