fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시)_비율,도로(도시)_비율,일반주택지(도시)_비율,교육/군사시설(도시)_비율,유원지(임지)_비율,공공용지(도시)_비율,인공녹지(도시)_비율,하천(수계)_비율,고층주택지(도시)_비율,공업시설(도시)_비율,침엽수림(임지)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,처리장(도시)_비율,저수지/늪(수계)_비율,자연초지(임지)_비율,발전시설(도시)_비율,공업나지(도시)_비율,인공초지(임지)_비율,경지정리답(농지)_비율,활엽수림(임지)_비율,철로(도시)_비율,골프장(임지)_비율,혼합수림(임지)_비율,가축/사육시설(도시)_비율,공원묘지(임지)_비율,과수원(농지)_비율,매립지(도시)_비율,순수양호,순수불량,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele
395,27.0,29,26,0.0,0.0,0.0,0.0,2.02752696324948,0.0,0.0,0.0,0.0,0.0,97.9724730367505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979334.827,34103.934,96.6348303111726,3.3651696888273994,3.16,2.85,0.31,53.0,54,52,271,94,170.8175182481752,137,177
439,21.019323671497602,32,14,0.402263269132614,20.7189445602499,2.73128407198094,0.0,0.0,0.0,0.000300086850006146,0.0,0.0,0.0,74.18288191343609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9643260983504,0.0,0.0,0.0,0.0,0.0,0.0,1385220.976,10101.204,99.2760665497341,0.7239334502659449,2.96,2.82,0.14,51.0,51,51,399,45,164.253807106599,197,354
391,26.111111111111104,27,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765979.582,0.0,100.0,0.0,5.29,4.11,1.18,51.5,52,51,557,188,362.6046511627907,129,369
394,27.375,29,26,0.0,0.0,0.0,0.0,1.1104983626928202,0.0,0.0,0.0353682471813379,0.0,0.0,98.85413339012591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257993.808,22624.707000000002,98.23329846203258,1.76670153796738,4.15,3.37,0.78,52.0,52,52,450,80,209.35955056179776,178,370
401,31.103448275862103,36,27,0.0154998868647904,12.381603943450902,1.7507722443132299,0.206564781060615,0.0,0.0,0.0,0.0,1.98999814497483,0.0,82.36845770744209,0.0,0.0,0.0541422883276079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23296100356596,0.0,0.0,969939.073,99960.384,90.6570301212892,9.34296987871076,2.68,2.44,0.24,56.0,58,54,121,31,53.48672566371681,113,90
436,23.710144927536202,33,14,0.443340746085453,20.388594395994,2.52602811317134,0.86538122505614,0.0,0.0,0.0,0.0,0.612493818744261,0.0,72.8755472388479,0.0,0.0,0.27614909898204404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9330061897828898,0.0,0.0,0.0,0.0,0.0794591733360071,0.0,1261509.662,12383.712,99.0278847309555,0.972115269044488,2.86,2.84,0.02,50.5,51,50,464,47,227.86857142857144,175,417
435,30.5,34,26,0.49508985275491496,28.5116706248508,3.4100521428396298,1.3673420637475402,0.0,0.162153625669296,0.0,0.0,2.77857967282475,0.0,60.2734440977037,0.0,0.0,0.27556136777682105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70314052692698,0.0,0.0,0.0229660249055981,0.0,0.0,0.0,825055.305,149338.909,84.6736662785643,15.326333721435699,2.57,2.37,0.2,50.5,51,50,76,29,44.717171717171716,99,47
403,34.5072463768116,39,29,1.3051547281904499,55.39079863391439,9.31690093108486,2.73489313834535,0.0,0.7317250753089151,3.0139152298441,7.99607589111789,9.934788075338929,1.3271681403283502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24858015652674,0.0,0.0,0.0,0.0,0.0,0.0,146397.961,774537.555,15.8966570901583,84.1033429098417,2.65,2.42,0.23,52.5,54,51,28,20,24.45,40,8
393,30.5,35,26,0.10323749760149699,12.3964729776575,1.51391109321475,0.0,1.9342504073173898,0.0,0.00332995877547453,0.239597384897998,0.10738525515867998,0.0,82.4673737623242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2344416630525001,0.0,0.0,951096.663,164620.147,85.2453467112322,14.7546532887678,2.88,2.53,0.35,52.5,55,50,153,42,83.31788079470199,151,111
402,33.0833333333333,36,30,0.27090692543864303,12.2668787802408,5.19303687337194,0.297204586434002,0.0,0.0,0.0,0.0,1.3869477758513502,0.11465879760389,80.47036626105941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514249.26700000005,499323.755,50.736282027838,49.263717972162105,2.64,2.42,0.22,56.0,58,54,41,25,31.433333333333334,60,16
