fid,avg_tmp,max_tmp,min_tmp,도로(도시)_비율,공공용지(도시)_비율,하천(수계)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,저수지/늪(수계)_비율,공업나지(도시)_비율,경지정리답(농지)_비율,철로(도시)_비율,골프장(임지)_비율,공원묘지(임지)_비율,과수원(농지)_비율,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele,b_sum,g_sum,label
249,31.3,34,29,79.532804948688,0.0,0.0,0.0,0.0,7.409284007964821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8493673772275,25.1506326227725,0.16785714285714282,0.1266375545851527,0.35897435897435886,0.6000000000000001,0.5555555555555554,0.6666666666666665,0.05120910384068279,0.05333333333333334,0.05010214098969598,0.4247787610619469,0.048780487804878044,0.2325180333927931,0.0141859595648717,1
60,30.5897435897436,35,26,31.1771434535397,0.0,0.532441907725683,0.0,2.44014946595915,7.68995413027381,0.0,0.0,7.47681116112511,5.47988306158141,0.0,0.0,0.0,65.12553584721661,34.874464152783396,0.3321428571428572,0.29694323144104795,0.4188034188034187,0.3857142857142857,0.3333333333333335,0.4444444444444442,0.15362731152204837,0.05,0.09080051061249132,0.6991150442477876,0.18574108818011256,0.3588009565903833,0.27242870608909303,1
154,26.674242424242397,34,16,76.6619970772648,0.12679847523013002,0.532548304753807,0.0,0.0,0.0,0.0,0.0,0.0,0.715452823748878,0.0,0.0,0.0,49.1351109597735,50.8648890402265,0.2678571428571429,0.2707423580786025,0.3162393162393161,0.5714285714285716,0.5555555555555554,0.6111111111111112,0.1635846372688478,0.05333333333333334,0.07398772029114653,0.4955752212389381,0.19699812382739212,0.293695200100502,0.072615007302255,0
39,29.857142857142897,32,27,79.7581571721358,0.428885526952969,0.0555893997460439,0.0,0.0,0.0,0.0,0.0,0.0,0.7443479291088579,0.24860773277374498,0.0,0.0,65.3184900395278,34.6815099604722,0.3142857142857144,0.25764192139737985,0.45299145299145294,0.5428571428571431,0.5555555555555554,0.5555555555555554,0.03982930298719772,0.03333333333333333,0.03469145370732589,0.5044247787610618,0.0450281425891182,0.36769162079397916,0.0035861993675737505,1
38,31.2413793103448,34,28,74.88734846094059,0.0,1.04765817210904,0.0,0.0,0.0,0.0,0.0,0.0,4.06476992042604,0.0,0.0,0.0,57.393224604862795,39.1720413525057,0.3178571428571427,0.24017467248908286,0.49572649572649563,0.5714285714285716,0.5555555555555554,0.6111111111111112,0.018492176386913226,0.023333333333333334,0.013142081763142705,0.1504424778761062,0.022514071294559096,0.37444287100267537,0.012564791698548601,1
66,23.5696202531646,32,16,80.1811281561942,0.4491977849838711,0.350185597631771,0.0,0.0,0.0,0.0,0.0,0.0,0.7482953319478871,0.0,0.0,0.0,59.961745522869904,40.0382544771301,0.28214285714285714,0.2707423580786025,0.3504273504273503,0.5142857142857142,0.5,0.5555555555555554,0.07965860597439546,0.043333333333333335,0.045622494490792226,0.36283185840707965,0.09193245778611633,0.35960203574451577,0.00270346748281768,1
141,25.743119266055103,32,17,69.916269471463,0.0,0.584405057155473,0.0,0.0,0.0,0.0,0.0,0.0,0.652497904130133,0.0,0.0,0.0,69.0074242578603,30.992575742139696,0.2607142857142858,0.2707423580786025,0.299145299145299,0.5714285714285716,0.5555555555555554,0.6111111111111112,0.1635846372688478,0.07,0.09331990930194635,0.5044247787610618,0.1876172607879925,0.41934018427780095,0.0785562760666135,1
142,29.542857142857102,33,25,77.3201571615273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.70031127468359,27.2996887253164,0.2857142857142857,0.3013100436681223,0.299145299145299,0.48571428571428577,0.5,0.5,0.17211948790896162,0.08333333333333334,0.09967095539759721,0.40707964601769914,0.19136960600375236,0.4202993058508277,0.016406314697687198,1
143,26.224137931034498,32,20,78.3528559583284,0.0690093814964982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5851434045058,55.4148565954942,0.33571428571428574,0.3493449781659387,0.3247863247863247,0.37142857142857144,0.38888888888888884,0.38888888888888884,0.12944523470839261,0.09666666666666668,0.09555060118761462,0.5176991150442477,0.12757973733583491,0.43106535032572296,0.0,0
129,25.6849315068493,33,18,81.82120960718079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0104554378587,45.9895445621413,0.33571428571428574,0.27510917030567683,0.47008547008547,0.22857142857142865,0.2777777777777777,0.22222222222222232,0.07396870554765292,0.04666666666666667,0.044140270241784366,0.3938053097345133,0.08255159474671671,0.30853590547604604,0.027341964099566,0
128,25.4014084507042,33,18,80.6973940733206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.7760799801811,26.223920019818898,0.36785714285714277,0.3318777292576417,0.4358974358974358,0.20000000000000018,0.22222222222222232,0.22222222222222232,0.1422475106685633,0.06333333333333334,0.11194900092175612,0.6283185840707964,0.16322701688555347,0.2441711924534221,0.0707996064351237,1
161,22.3607305936073,31,15,87.4675391698511,3.0483467947655805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128604285919714,0.0,0.0,86.5875626125565,13.4124373874435,0.3285714285714286,0.3449781659388643,0.3162393162393161,0.5142857142857142,0.5,0.5555555555555554,0.1763869132290185,0.06666666666666668,0.1057671763919228,0.5221238938053097,0.20637898686679174,0.15215621829301237,0.017389213012649,1
160,27.3768115942029,32,22,82.2874366786472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.30650101520099,45.69349898479901,0.2857142857142857,0.27510917030567683,0.3504273504273503,0.40000000000000036,0.44444444444444464,0.38888888888888884,0.1337126600284495,0.04666666666666667,0.0801996591239213,0.4778761061946903,0.16135084427767354,0.2779055393832248,0.0380125463674484,0
194,23.5280898876404,30,17,58.422548727744996,1.23338477917597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166786934773644,0.0,0.0,90.32113446714479,9.67886553285519,0.40714285714285714,0.37554585152838416,0.44444444444444436,0.5142857142857142,0.5,0.5555555555555554,0.2574679943100996,0.12000000000000001,0.1811706370997272,0.5442477876106194,0.28330206378986866,0.1686818586355393,0.317334557677457,3
170,24.093137254902,32,15,58.421130413262,1.03556576515084,0.0,0.0,0.0,0.20132208242929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.1957438237715,8.804256176228481,0.37142857142857133,0.3187772925764193,0.47008547008547,0.48571428571428577,0.44444444444444464,0.5555555555555554,0.197724039829303,0.08333333333333334,0.12956794742133695,0.5309734513274336,0.225140712945591,0.07780788114187265,0.364470991288215,3
171,28.2280701754386,34,21,57.8474669910325,1.3634302666051998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.531898185087,22.468101814913002,0.24285714285714277,0.2139737991266374,0.36752136752136744,0.4285714285714288,0.38888888888888884,0.5,0.10668563300142249,0.04666666666666667,0.0646513106986643,0.3938053097345133,0.12570356472795496,0.1050136901719661,0.3553236024153201,1
172,24.112903225806498,33,14,79.3828378630732,5.376874097147981,1.2478767468718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7072174412438,55.2927825587562,0.20357142857142863,0.19213973799126627,0.3162393162393161,0.4285714285714288,0.38888888888888884,0.5,0.03982930298719772,0.04,0.033649109888165066,0.28761061946902655,0.04127579737335835,0.2533898332803889,0.013083021667338,0
204,25.5321888412017,33,17,45.5834711610882,0.727141228716558,0.961503218262603,0.0,0.0,0.11498419491705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6939339340731,27.3060660659269,0.2678571428571429,0.262008733624454,0.33333333333333326,0.4571428571428573,0.38888888888888884,0.5555555555555554,0.10384068278805121,0.060000000000000005,0.06373824240465933,0.5132743362831858,0.11444652908067543,0.16814002506278514,0.441961993421951,1
226,23.0,33,14,46.9359158865786,0.0861000189928106,0.0,0.0,0.0,0.7683125336687142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.19470299808648,5.80529700191355,0.34285714285714286,0.3187772925764193,0.4017094017094016,0.5714285714285716,0.5555555555555554,0.6111111111111112,0.3627311522048364,0.14,0.2623626596633389,0.5663716814159292,0.41088180112570355,0.06509531047035082,0.4895115084223371,3
205,22.778846153846196,34,14,47.0914973982899,0.7408181503588441,0.0,0.0,0.19641744039945397,0.8529995295639581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.1205561281863,16.8794438718137,0.3571428571428571,0.3231441048034934,0.4273504273504273,0.5142857142857142,0.5,0.5555555555555554,0.352773826458037,0.11000000000000001,0.17528496015900538,0.5619469026548672,0.4146341463414634,0.1152862141210043,0.45347306185414893,1
182,29.6774193548387,34,26,46.6058845487609,0.0,0.0425394988197556,0.0,0.135530242168007,1.33709606040074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.7504526031789,11.249547396821198,0.3142857142857144,0.27947598253275097,0.41025641025641013,0.6000000000000001,0.5555555555555554,0.6666666666666665,0.267425320056899,0.08666666666666668,0.15022776902103122,0.6194690265486725,0.3151969981238274,0.04449774717869135,0.49651495320778,1
253,32.7542372881356,39,28,71.58007264420891,0.0,6.42067853876588,0.0,0.0,19.1121952189433,0.0,0.0,0.0,2.22127688799227,0.0,0.0,0.0,55.8146878370417,43.3269525146556,0.21785714285714286,0.14410480349344967,0.44444444444444436,0.6000000000000001,0.5555555555555554,0.6666666666666665,0.017069701280227598,0.03,0.02083168405690979,0.33185840707964603,0.016885553470919322,0.013300189070706226,0.0,1
183,32.257142857142895,37,27,45.407262973275,0.0,0.0,0.0,0.0,8.80644712435468,0.0,0.0,0.0,1.40908076876174,0.0,0.0,0.0,66.51281783950989,33.4871821604901,0.2607142857142858,0.20087336244541476,0.4358974358974358,0.6000000000000001,0.5555555555555554,0.6666666666666665,0.12517780938833573,0.04,0.05761601789333688,0.4026548672566372,0.15384615384615385,0.012966741190303315,0.437281240533613,1
254,34.368421052631604,39,30,80.01196191524191,0.19195414555253,0.378391418557431,0.0,0.0,13.4860564981683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.774709354667696,69.0076608616162,0.17857142857142871,0.10917030567685593,0.4188034188034187,0.5714285714285716,0.5,0.6666666666666665,0.044096728307254626,0.05333333333333334,0.03722264367866231,0.3230088495575221,0.039399624765478425,0.1130230365737907,0.0027396416124504898,0
256,32.0,35,30,40.970777321008605,0.0,1.63325470030777,0.0,6.38983419503538,9.43588886759041,0.0,0.0,0.0,0.0,9.52958614011776,0.0,0.0,54.726607323874205,42.58672050477939,0.1428571428571429,0.10043668122270744,0.3504273504273503,0.5714285714285716,0.5,0.6666666666666665,0.04836415362731153,0.06333333333333334,0.049269559252329787,0.42035398230088494,0.039399624765478425,0.35662690302834316,0.141887406591812,1
61,30.714285714285698,34,28,82.0234747578012,0.14425689231389802,1.4713607544983198,0.0,0.0,0.0,0.0,0.0,0.0,0.878912876711123,0.0,0.0,0.0,60.7768788508469,26.8486180887235,0.30714285714285705,0.2358078602620085,0.4786324786324785,0.4571428571428573,0.44444444444444464,0.5,0.011379800853485063,0.016666666666666666,0.010400354158976676,0.1946902654867257,0.016885553470919322,0.27588440110874335,0.0167185954249408,1
153,24.1666666666667,31,16,30.575954689888896,0.0,0.0,0.0,0.0,0.116808389897989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.3155435472997,26.6844564527003,0.28214285714285714,0.29694323144104795,0.299145299145299,0.4571428571428573,0.5,0.4444444444444442,0.17354196301564723,0.07666666666666667,0.1291954683038326,0.6327433628318584,0.19699812382739212,0.12363610776381985,0.6311829925641861,1
137,25.196428571428598,33,17,75.20357645738609,0.0,0.23824865542194798,0.0,0.0,0.13567789325764698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0690834679865,21.9309165320134,0.3107142857142856,0.30567685589519644,0.3504273504273503,0.5142857142857142,0.5,0.5555555555555554,0.17354196301564723,0.11333333333333334,0.11813611773198869,0.5221238938053097,0.17636022514071295,0.3509654812914243,0.06853976558095419,1
65,23.261194029850696,33,16,31.8895475295515,0.272419670360428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.693934842031,23.306065157968998,0.28214285714285714,0.2925764192139738,0.30769230769230754,0.4285714285714288,0.44444444444444464,0.4444444444444442,0.17211948790896162,0.07,0.10222016440681125,0.6194690265486725,0.19887429643527205,0.09754080072967988,0.629553658647477,1
62,32.636363636363605,35,30,80.1926390458952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463287237127394,0.0,0.0,0.0,42.9579516363699,57.0420483636301,0.3142857142857144,0.26637554585152834,0.4358974358974358,0.4285714285714288,0.44444444444444464,0.4444444444444442,0.029871977240398296,0.03666666666666667,0.031126515600918437,0.3938053097345133,0.0300187617260788,0.38336657311142186,0.00153629547532176,0
139,28.9701492537313,35,25,30.7521264088321,0.306626040103187,0.0,0.0,0.0,0.264321376950714,0.0,0.0,0.0,0.0,0.11447127938478399,0.0,0.0,88.8229114815441,11.177088518455902,0.4,0.40174672489082963,0.37606837606837595,0.34285714285714297,0.3333333333333335,0.38888888888888884,0.1593172119487909,0.16,0.15775321050645894,0.6194690265486725,0.13133208255159476,0.049832433303084935,0.6606795851397019,1
156,20.9583333333333,30,14,31.595202520921998,0.0768494263310287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5206749082482,2.47932509175175,0.4892857142857142,0.3711790393013098,0.6495726495726495,0.2571428571428571,0.2777777777777777,0.2777777777777777,0.35135135135135137,0.06666666666666668,0.19630766929835167,0.6327433628318584,0.4371482176360225,0.10126308108482218,0.632589523700705,3
138,24.68,32,17,71.37101812010691,0.272462744429748,0.44830305856190206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.33365515338839,35.6663448466116,0.3642857142857142,0.3624454148471613,0.36752136752136744,0.4571428571428573,0.44444444444444464,0.5,0.1849217638691323,0.12666666666666668,0.14318096545856962,0.5840707964601769,0.18386491557223264,0.42691162759384355,0.0653800717179301,1
140,22.437869822485197,30,16,30.674346832540998,0.276771673798914,0.0,0.0,0.0,0.263652844166002,0.0,0.0,0.0,0.0,0.11418175379264599,0.0,0.0,80.8004420489096,19.199557951090398,0.4535714285714284,0.4279475982532751,0.45299145299145294,0.2571428571428571,0.2777777777777777,0.2777777777777777,0.29160739687055476,0.15000000000000002,0.18963713549724107,0.6460176991150441,0.31144465290806755,0.09316105929914027,0.6400761968884651,1
159,24.574468085106396,31,19,71.8354329924623,0.0440229998257312,0.0,0.0,0.0,0.316644700693704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.24890667572771,8.75109332427235,0.3749999999999999,0.4104803493449781,0.299145299145299,0.4571428571428573,0.44444444444444464,0.5,0.34708392603129445,0.16666666666666669,0.2759042257143309,0.5929203539823008,0.37523452157598497,0.06344144259988989,0.246281673897538,1
168,24.546875,32,16,62.745753924965804,0.6452574860317729,0.0,0.0,0.0,0.233505302295237,0.0315847467957424,0.0,0.0,0.0,0.0,0.0,0.0,89.0162903007256,10.9837096992744,0.3321428571428572,0.27510917030567683,0.4615384615384615,0.4571428571428573,0.38888888888888884,0.5555555555555554,0.22617354196301567,0.05333333333333334,0.10692307845827945,0.6504424778761061,0.2795497185741088,0.04055108466407991,0.34314005010226306,3
158,21.64,30,13,30.723604754468496,0.35253366769454797,0.0,0.0,0.0,0.27951357198786303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.4881868188919,19.5118131811081,0.4107142857142857,0.35807860262008717,0.48717948717948706,0.37142857142857144,0.38888888888888884,0.38888888888888884,0.2190611664295875,0.08333333333333334,0.1225054086318582,0.5663716814159292,0.25328330206378985,0.0776893000554616,0.6475540129049651,1
169,27.795918367346896,33,21,55.99920185699229,3.5719074393792796,1.02404402653738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.819387542091796,41.180612457908204,0.21071428571428574,0.1659388646288208,0.3846153846153845,0.4571428571428573,0.38888888888888884,0.5555555555555554,0.03129445234708393,0.04666666666666667,0.031027219762046147,0.28761061946902655,0.026266416510318948,0.061638629234278125,0.36319359428160297,1
93,20.3502824858757,29,14,48.648629316922104,0.574412124630903,0.0,0.0,0.0,0.544406686286365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.76674465044951,1.23325534955053,0.2785714285714286,0.3406113537117902,0.205128205128205,0.4571428571428573,0.38888888888888884,0.5555555555555554,0.3982930298719773,0.11666666666666668,0.2881664782373509,0.6194690265486725,0.4709193245778612,0.06484094885041951,0.46986763908153106,3
92,22.528384279476,31,15,46.7580792929226,0.5208808519990991,0.287812547170551,0.0,0.0,0.405303181961452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3540227857386,51.6459772142614,0.18928571428571417,0.21834061135371174,0.23076923076923067,0.4571428571428573,0.38888888888888884,0.5555555555555554,0.2503556187766714,0.05666666666666667,0.09234580499037257,0.47345132743362833,0.30956848030018763,0.1291847073749712,0.4556123639596271,0
203,30.0204081632653,34,24,49.6824039470959,1.7256065769604298,0.0,0.0,0.0,0.950452533764323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.8067830912666,14.193216908733401,0.2928571428571428,0.2838427947598253,0.3504273504273503,0.5428571428571431,0.5,0.6111111111111112,0.3229018492176387,0.11333333333333334,0.18612722008503269,0.5973451327433628,0.37335834896810505,0.0,0.4764153694217939,1
202,28.423728813559297,33,24,49.55279710270229,1.63332301497491,0.0,0.0,0.397617005692443,0.304390826281771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6935288753894,5.306471124610611,0.3392857142857143,0.3449781659388643,0.3418803418803417,0.48571428571428577,0.44444444444444464,0.5555555555555554,0.3172119487908962,0.16333333333333336,0.2260907870791156,0.6415929203539823,0.3377110694183865,0.011878653532262064,0.475172541222153,3
