"fid","avg_tmp","max_tmp","min_tmp","도로(도시)_비율","공공용지(도시)_비율","하천(수계)_비율","암벽/석산(임지)_비율","미경지정리답(농지)_비율","보통/특수작물(농지)_비율","저수지/늪(수계)_비율","공업나지(도시)_비율","경지정리답(농지)_비율","철로(도시)_비율","골프장(임지)_비율","공원묘지(임지)_비율","과수원(농지)_비율","순수양호","순수불량","순수양호_비율","순수불량_비율","80m_wind_speed","10m_wind_speed","difference_wind","avg_dust_10","max_dust_10","min_dust_10","max_ele","min_ele","avg_ele","num_ele","diff_ele","label","b_sum","g_sum"
434,32.6470588235294,35,30,20.4306890168617,0.182508302340697,0,0,0,0,0,0,0,3.04245795628357,0,0,0,268577.877,744995.144,26.4981280514964,73.5018719485036,2.68,2.39,0.29,50.5,51,50,51,24,32.7230769230769,65,27,0,8.4076641423693,67.9366805821447
392,28.75,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1071998.384,0,100,0,3.85,3.02,0.83,51,52,50,324,71,156.45,140,253,3,0,100
390,30.9782608695652,34,28,11.7057341976869,0.103898482752813,0.404005434379178,0,0,0.086126732811883,0,0,0,0,0,0,0,573639.063,496367.528,53.6107971506878,46.3892028493122,2.76,2.39,0.37,51.5,55,48,87,37,54.5433070866142,127,50,0,6.26443673440572,81.4357984179635
388,25.8888888888889,27,25,0,0.110465634650391,0,0.258530159899468,0,0,0,0,0,0,0,0,0,1384635.752,0,97.459702018623,0,5.08,3.91,1.17,50.5,51,50,712,177,366.502538071066,197,535,3,0,99.6310042054502
476,20.2083333333333,29,13,1.4315265066271,0.242940906459579,1.38945783885233,0,0.119430566834577,3.06336178510997,0,0,0,0,0,0,0,615247.762,127976.55,78.8738999844055,16.4064141773331,2.98,2.7,0.28,52,52,52,162,36,71.8650793650794,126,126,2,1.2021146185819,92.5511677775345
389,28.1,30,26,0,0,0.0690871851531639,0,0,0.05955063192851,0,0,0,0,0,0,0,1072122.093,0,100,0,3.62,2.76,0.86,49.5,51,48,299,53,135.522875816993,153,246,3,0.820896386748573,99.0504657961697
433,26.0483870967742,33,17,17.8427087232986,0,0,0,0,0,0,0,0,0,0,0,0,1082105.978,161844.441,86.9894781553991,13.0105218446009,2.7,2.69,0.0100000000000002,50.5,51,50,390,37,158.625766871166,163,353,1,10.4447468088471,71.7125444678544
408,33.2666666666667,37,30,69.1103755138788,1.69893615597575,4.12489622573565,0,0,0,0,0,0,6.55223116669563,0,0,0,268745.294,757022.952,26.1994163933205,73.8005836066795,2.57,2.32,0.25,53,55,51,31,18,24.0769230769231,52,13,0,17.9681448116639,0.545416126050178
400,32,35,29,61.6404370320187,0,0,0,0,0,0,0,0,0,0,0,0,998725.539,57545.677,94.5519979974537,5.44800200254629,2.58,2.35,0.23,56,58,54,60,24,34.7254901960784,102,36,3,34.888908139358,3.4706548286234
399,31.1818181818182,35,28,56.8686919916747,0,0,0,0,0.636486068976891,0,0,0,0,0,0,0,838728.904,177980.957,82.4944201067408,17.5055798932592,2.58,2.35,0.23,56,59,53,94,38,54.0826446280992,121,56,1,26.0342818169567,16.4605401223917
431,32.6666666666667,35,30,69.2572365846342,0.760348016156623,4.13366172110392,0,0,0,0,0,0,6.5661548022977,0,0,0,143196.748,799062.41,15.1971723261298,84.8028276738702,2.62,2.31,0.31,50.5,51,50,29,22,25.7727272727273,22,7,0,19.2420644680954,0.0405344077121961
432,31.5263157894737,34,29,66.4907716716027,0.393319687840097,0.495023549944805,0,0,0,0,0,0,6.30387120898841,0,0,0,854204.585,142323.91,85.7180290664945,14.2819709335055,2.57,2.33,0.24,50.5,51,50,49,24,32.8225806451613,62,25,1,26.1457466863157,0.171267195308303
475,17.2110091743119,24,10,0,0,0.136566079532669,0,0,0,0,0,0,0,0,0,0,942539.934,2550.612,99.7301198270583,0.269880172941652,3.65,3.39,0.26,52,52,52,419,110,247.836879432624,141,309,3,0.247923187163976,99.6155107333033
473,24.9718309859155,30,18,6.49459205990809,0,6.39867116358815,0,0,20.8632579700207,0,0,0,0,0,0,0,886202.571,103983.557,89.4985847549664,10.5014152450336,3.03,2.64,0.39,52,52,52,114,30,60.9602649006623,151,84,1,11.8093907122352,54.4340880942479
474,18.9742268041237,26,12,1.3407883393364,0,1.32098576850545,0,0,3.56338105659118,0.00422168365997521,0,0,0,0,0,0.108978129607924,843082.331,170718.724,83.1605300509379,16.8394699490621,3.16,2.82,0.34,52,52,52,232,42,98.7483443708609,151,190,1,0.681277615308427,92.9803674069906
385,30.28,34,27,7.51651169525256,0.162394927353651,0.0120096169746122,0,0,0,0,0,0,0,0,0,0,1006978.767,50903.594,95.1881611910155,4.81183880898455,3.63,2.73,0.9,49,50,48,262,53,118.20979020979,143,209,3,1.47314261548097,90.8359411449382
386,31.7894736842105,35,29,11.8954186881381,0.257001616178092,0.283593752901548,0,0,0,0.00730552766036252,0,0,0,0,0,0,518947.852,494866.748,51.1876483136069,48.8123516863932,2.77,2.33,0.44,50.5,53,48,76,33,44.5060240963855,83,43,0,7.65169725540815,79.9049831597138
