"","tag_27_1","Freq"
"850","아파트갭투자",2
"851","아파트분양",2
"852","아파트재테크",2
"853","아파트투자",2
"854","아파트투자법",2
"855","아프리카",2
"856","아프리카tv",3
"857","안선영",2
"858","안선영다이어트",2
"859","안철수",39
"860","안희정",3
"861","안희정 김지은",3
"862","안희정 미투",1
"863","안희정 사주",2
"864","안희정 사주풀이",2
"865","안희정 성폭행",2
"866","안희정 운세",2
"867","안희정 충남지사",1
"868","알러지",1
"869","알레르기",1
"870","알트코인",6
"871","암기",2
"872","암기력",2
"873","암기잘하는법",4
"874","암호화폐",3
"875","애슐리 주드",1
"876","야당",39
"877","양띵",2
"878","어린이",2
"879","어서와 한국은 처음이지 22",3
"880","어세신",11
"881","어쎄신",11
"882","어쎄신크리드",11
"883","어원",2
"884","어쩌다어른",9
"885","어쩌다어른김미경",9
"886","언니의 따끈따끈 독설",1
"887","언니의 따끈따끈독설",4
"888","언니의 따독",3
"889","언니의따끈따끈독설",10
"890","언니의따독",5
"891","언론",39
"892","언어영역",2
"893","엄마",15
"894","엄마의자존감공부",5
"895","엄마의자존감공주",3
"896","엉덩이",1
"897","에그",2
"898","에그박사",2
"899","에그박사 논",2
"900","에그박사 우렁이",2
"901","에그앤벅스",2
"902","에그엔벅스",2
"903","에드머",3
"904","엑소",2
"905","엘리어트파동",6
"906","엘지",3
"907","여당",39
"908","여대",2
"909","여신",2
"910","여캠",2
"911","역사",18
"912","역학",4
"913","연금저축",1
"914","연세대",6
"915","연애",3
"916","연애상담",3
"917","연예인",6
"918","연예인 노래",3
"919","연예인 라이브",3
"920","연예인 영어",3
"921","연예인 영어실력",5
"922","열경련",1
"923","열성경련",1
"924","엽기떡볶이",4
"925","영국",3
"926","영국 남자",3
"927","영국 발음",8
"928","영국 영어",8
"929","영국남자",8
"930","영국발음",8
"931","영국식",3
"932","영국식 미국식",3
"933","영국식 발음",3
"934","영국식 억양",3
"935","영국식 영어",3
"936","영국영어",8
"937","영단어",54
"938","영단어암기",54
"939","영상",2
"940","영어",69
"941","영어 공부",3
"942","영어 공부법",3
"943","영어 기초",3
"944","영어 듣고 따라하기",3
"945","영어 듣기",3
"946","영어 듣기 & 읽기",3
"947","영어 듣기 공부",3
"948","영어 듣기 공부법",3
"949","영어 듣기 연습",3
"950","영어 듣기 영화",3
"951","영어 듣기 자료",3
"952","영어 듣기 잘하는 방법",3
"953","영어 듣기평가",3
"954","영어 문법",3
"955","영어 발음",6
"956","영어 회화",3
"957","영어 회화 공부",3
"958","영어 회화 영화",3
"959","영어 회화 패턴",3
"960","영어강사",1
"961","영어공부",12
"962","영어공부방법",5
