FilmAni_tags,number,overlap_num,overlap_word
장난감,91,11,"['장난감놀이', '신제품장난감팽이', '일본장난감', '장난감배틀', '장난감싸움', '장난감팽이', '공룡메카드장난감', '공룡장난감', '남자장난감', '대문밖장난감', '뽀로로장난감애니메이션']"
걸작선,86,2,"['영화걸작선', '영화걸작선영화']"
드라마,83,20,"['일본영화드라마', '스릴러드라마', '드라마코멘터리', '요즘그드라마', '드라마리뷰', 'tvn드라마', '액션드라마', '퍼니셔드라마', '드라마영화', '드라마추천', '사와지리에리카드라마', '일본드라마', '어린이드라마', '웹드라마', '초능력드라마', '미국드라마', '넷플릭스드라마', '심야드라마', '초간단드라마', 'dc드라마']"
추천영화,83,2,"['스릴러추천영화', '유튜브추천영화']"
탑블레이드,82,0,[]
어벤져스인피니티워,80,16,"['어벤져스인피니티워예고편', '어벤져스인피니티워ost', '마블어벤져스인피니티워', '어벤져스인피니티워분석', '어벤져스인피니티워리뷰', '마블어벤져스인피니티워예고편', '어벤져스인피니티워번역', '어벤져스인피니티워후기', '어벤져스인피니티워오역', '어벤져스인피니티워타노스', '어벤져스인피니티워출연진', '어벤져스인피니티워트레일러', '어벤져스인피니티워앤트맨', '어벤져스인피니티워;', '어벤져스인피니티워정보', '어벤져스인피니티워감독']"
망작,80,2,"['망작영화제', '블랙팬서망작']"
명장면,78,31,"['영화명장면', '일본영화명장면', '리본명장면', '블리치명장면', '드래곤볼명장면', '나루토명장면', '원피스명장면', '기생수명장면', '부산행명장면', '들개명장면', '방황하는칼날명장면', '핸콕명장면', '써니명장면', '범죄도시명장면', '나는내일어제의너와만난다명장면', '말죽거리잔혹사명장면', '공포영화명장면', '숨바꼭질명장면', '어벤져스명장면', '해적명장면', '추격자명장면', '곡성명장면', '신과함께명장면', '범죄와의전쟁명장면', '스릴러명장면', '#애니명장면', '검은사제들명장면', '곤지암명장면', '엄태구명장면', '택시운전사명장면', '송강호명장면']"
animation,78,5,"['koreananimation', 'robotanimation', 'minecraftanimation', 'disneyanimation', 'waltdisneyanimationstudios']"
삐맨,77,12,"['bman삐맨', '삐맨마블', '마블삐맨', '영화삐맨', '삐맨영화', '삐맨인피니티워', '인피니티워삐맨', '데드풀삐맨', '삐맨데드풀', '삐맨블랙팬서', '블랙팬서삐맨', '삐맨;']"
만화,77,18,"['일본만화', '변신만화', '베이블레이드버스트만화', '배틀만화', '만화영화', '만화경', '만화그리기', '만화경사륜안', '만화노래', '만화원작', '강다니엘만화', '일본인기만화', '인기만화', '명작만화', '만화썰', '썰만화', '#액션만화', '장난을잘치는타카기양만화']"
trailer,76,27,"['movietrailer', 'oneringtrailers', ""she'sthemantrailer"", 'queenmovietrailer', 'bohemianrhapsodytrailer', 'officialtrailer', 'queentrailer', 'devilmovietrailer', 'upcomingnepalimovietrailers', 'krinepalimovietrailerdownload', 'mostawaitednepalimovietrailers', 'kriofficialtrailer', 'latestnepalimovietrailer', 'nepalimoviekritrailer', 'badgeniustrailer', 'ralphtrailer', 'avengerstrailer', '+officialtrailer', 'kanchhitrailer', 'newpacificrim2trailer', 'nepalimovietrailer', 'newpacificrimtrailer', 'johnboyegatrailer', 'satrugatetrailer', 'satrugatemovietrailer', 'nepalimoviesatrugatetrailer', 'nepalimoviietrailer']"
없다,76,1,['거의없다']
망한영화,76,0,[]
거의없다,76,0,[]
