Auto_tags,number,overlap_num,overlap_word
리니지m,2,0,[]
카카오톡,2,0,[]
차버튼,2,2,"['자동차버튼기능', '자동차버튼']"
클래시로얄,2,1,['클래시로얄와우wow월드오브워크래프트']
똥고후리기,2,0,[]
엔진조립,2,0,[]
이실장,2,0,[]
온딜카레이싱,2,0,[]
f80m3,2,0,[]
데저트쇼,2,0,[]
데저트이글,2,0,[]
데젓,2,0,[]
gtr,2,1,['9gtronictransmission']
쌍용자동차,2,0,[]
g70,2,0,[]
d4,2,0,[]
롤,2,1,['롤스로이스']
이상길,2,0,[]
오버워치,2,0,[]
리그오브레전드,2,0,[]
카카오tv,2,0,[]
카마로ss,2,0,[]
닷지,2,0,[]
람보르기니,2,0,[]
렉서스,2,0,[]
중고차사고차,2,0,[]
중고차시세,2,1,['중고차시세표']
김이브,2,0,[]
단비스,2,0,[]
중고차직거래,2,0,[]
안심중고차,2,0,[]
중고차크루,2,0,[]
꼭봐야할영상,2,0,[]
아우디r8중고,2,0,[]
중고차매매,2,1,['중고차매매사이트']
씬,2,0,[]
말리부중고차,2,0,[]
중고차시세표,2,0,[]
창현,2,0,[]
크루즈중고,2,0,[]
중고차매매사이트,2,0,[]
도티,2,0,[]
중고자동차,2,1,['중고자동차판매']
허팝,2,0,[]
중고자동차판매,2,0,[]
testdrive,2,1,['2019santafetestdrive']
대도서관,2,0,[]
내차팔기,2,0,[]
배그,2,0,[]
허위매물,2,1,['중고차허위매물']
아반떼중고,2,0,[]
스포티지중고차,2,0,[]
아반떼md중고,2,0,[]
윤마,2,0,[]
중고차사기,2,0,[]
중고차확인법,2,0,[]
깨끗한중고차,2,0,[]
그랜져중고,2,0,[]
양띵,2,0,[]
중고차거래후기,2,0,[]
핑크상사,2,0,[]
날개중고차,2,0,[]
중고차인사이드,2,0,[]
쿠페,2,0,[]
ds,2,0,[]
전승용,2,0,[]
맥라렌,2,0,[]
인피니티,2,0,[]
세단,2,0,[]
독일,2,0,[]
프랑스,2,0,[]
폭스바겐,2,0,[]
김상영,2,0,[]
르노,2,1,['르노삼성']
motorgraph,2,0,[]
미니밴,2,0,[]
닛산,2,0,[]
영국,2,0,[]
중고차판매,2,0,[]
악어,2,0,[]
중고차딜러,2,0,[]
자동차버튼,2,1,['자동차버튼기능']
추월단속,1,0,[]
lf후기,1,0,[]
하이브리드,1,0,[]
봉고3,1,0,[]
모하비,1,0,[]
eq900,1,0,[]
체어맨,1,0,[]
자동차튜닝,1,0,[]
엑센트,1,0,[]
sm7,1,0,[]
씨스터카,1,0,[]
허자매,1,0,[]
트랙스,1,0,[]
용인중고차,1,0,[]
카니발,1,1,['올뉴카니발']
자동차경매,1,0,[]
qm3,1,0,[]
일산중고차,1,0,[]
중고차폴리스,1,0,[]
lf쏘나타,1,0,[]
벨로스터,1,0,[]
쏘나타,1,2,"['lf쏘나타', '쏘나타후기']"
경찰,1,0,[]
화물차,1,0,[]
자동차자가수리,1,0,[]
교도소,1,0,[]
이민용,1,0,[]
qm6,1,0,[]
아반떼,1,2,"['아반떼중고', '아반떼md중고']"
캡티바,1,0,[]
마이붕붕카,1,0,[]
소나타,1,2,"['소나타중고', 'lf소나타']"
i40,1,0,[]
올뉴카니발,1,0,[]
sm3,1,0,[]
중고차달인,1,0,[]
인천중고차,1,0,[]
크루즈,1,3,"['크루즈중고', '베라크루즈', '맥스크루즈']"
에쿠스,1,0,[]
카마로,1,1,['카마로ss']
중고차나라,1,0,[]
이태호,1,0,[]
투싼,1,0,[]
코란도,1,1,['코란도c']
아슬란,1,0,[]
중고차보안관,1,0,[]
쏘울,1,0,[]
안산중고차,1,0,[]
lf소나타,1,0,[]
수원중고차,1,0,[]
외제차,1,0,[]
s63,1,1,['s63amg']
대장,1,1,['인천대장']
드링코,1,0,[]
s63amg,1,0,[]
카리뷰,1,0,[]
인천,1,2,"['인천중고차', '인천대장']"
인천대장,1,0,[]
썰,1,1,['게임썰']
명준,1,1,['성명준']
차,1,78,"['자동차', '자동차리뷰', '중고차', '신차', '전기차', '똥차', '차알못', '고성능똥차', '현대자동차', '수입차', '경차', '기아자동차', '디젤차히터', '기아차', '발품중고차', '중고차대디', '중고차후기', '중고차영상', '중고차순위', '중고차상태확인', '중고차구매', '현대차', '중고차거래', '중고차허위매물', '자동차버튼기능', '중고차가격', '자동차기능', '중고차확인', '밥상차리기', '대포차조회', '신차출시', '자율주차', '수소전기차', '원격스마트주차보조기능', '중고차구매요령', '중고차허위딜러', '차버튼', '쌍용자동차', '중고차사고차', '중고차시세', '중고차직거래', '안심중고차', '중고차크루', '중고차매매', '말리부중고차', '중고차시세표', '중고차매매사이트', '중고자동차', '중고자동차판매', '내차팔기', '스포티지중고차', '중고차사기', '중고차확인법', '깨끗한중고차', '중고차거래후기', '날개중고차', '중고차인사이드', '중고차판매', '중고차딜러', '자동차버튼', '자동차튜닝', '용인중고차', '자동차경매', '일산중고차', '중고차폴리스', '화물차', '자동차자가수리', '중고차달인', '인천중고차', '중고차나라', '중고차보안관', '안산중고차', '수원중고차', '외제차', '중고차구입', '첫차구입', '#주니tv#자동차#자동차블로거#시승기#자동차시승', '차리뷰']"
성명준,1,0,[]
엔카,1,1,['sk엔카']
킹기훈,1,0,[]
박종덕,1,0,[]
유도,1,0,[]
아프리카,1,0,[]
올란도,1,0,[]
중고차구입,1,0,[]
베라크루즈,1,0,[]
하넨,1,0,[]
출고후기,1,0,[]
박성천,1,0,[]
과실비율,1,0,[]
말리부,1,2,"['말리부중고', '말리부중고차']"
hyundaimotors,1,0,[]
biggamead,1,2,"['2018biggamead', 'biggameadcommercial']"
footballcommercial,1,0,[]
sportscar,1,1,['kiasportscar']
kiasedan,1,0,[]
steventyler,1,0,[]
싼타페신형,1,0,[]
렉스턴스포츠,1,0,[]
싼타페tm시승기,1,0,[]
첫차구입,1,0,[]
주니의라이드엔필,1,0,[]
#주니tv#자동차#자동차블로거#시승기#자동차시승,1,0,[]
신형싼타페가격,1,0,[]
킨텍스,1,0,[]
주니tv,1,1,['#주니tv#자동차#자동차블로거#시승기#자동차시승']
주니라이드,1,0,[]
sbs,1,0,[]
stingergt,1,4,"['2018kiastingergt2', 'kiastingergt', '2018kiastingergt', 'kiastingergt2']"
stingerkia,1,0,[]
