Politic_tags,number,overlap_num,overlap_word
지진,113,32,"['포항지진', '지진대피', '경북지진', '경주지진', '포항지진영상', '울산지진', '포항지진방송', '포항지진대피', '포항지진영상자료', '포항지진cctv', '지진대비', '지진영상', '부산지진', '인공지진', '지진꿈', '지진관련주', '지진5.5', '지진규모지진관련주', '지진강도단위지진대피훈련', '지진피해영상', '포항지진피해', '지진갤러리', '포항지진원전', '경북포항지진', '포항지진5.5', '일본지진', '지진피해사례', '지진대피요령', '지진파', '자연지진', '지진대응', '지진에']"
문재인대통령,112,5,"['문재인대통령중국', '문재인대통령방중', '문재인대통령스리랑카', '문재인대통령베트남', '#여사#문재인대통령#문재인시진핑#']"
신의한수,110,0,[]
중국,110,32,"['문재인중국', '중국경호원', '중국방문', '개중국', '문재인중국방문', '문재인대통령중국', '중국폭행', '중국홀대', '문재인중국인기', '중국어선', '문재인중국공항', '문재인김정숙중국혼밥', '중국경호원기자폭행', '중국은평양점령', '중국사드', '중국수모', '중국의무례', '한국기자중국경호원', '중국경호원폭행', '중국인싸움', '중국군', '중국식당', '중국공산당', '사드중국', '중국3불', '미국중국', '중국국빈방문', '한국중국', '중국몽', '중국롯데마트', '#문재인#대통령#국빈만찬#중국#시진핑#중국방문#김정숙', '중국기자']"
미국,109,18,"['미국북폭', '미국은북폭', '추미애미국발언', '추미애미국방문', '추미애미국', '미국공화당', '평창올림픽미국불참', '틸러슨미국무장관', '평창올림픽미국', '미국불참', '박근혜대통령새마을박정희미국캐나다문재인변희재서석구조원진대한애국당국회탄핵무효인권침해', '미국베트남', '미국중국', '미국일본', '미국대동아시아정책', '미국북폭명분잡았다', '미국대통령', '미국입국거부']"
이국종,106,11,"['이국종교수', '김종대이국종', '이국종아주대', '문재인이국종', '이국종청와대', '이국종의사', '이국종가족', '이국종선행', '이국종비난', '이국종김종대', '이국종의방안에는']"
정규재,102,5,"['정규재tv', '정규재티비', '정규재뉴스', '정규재칼럼', '정규재티브이']"
조원진,101,5,"['박근혜대통령새마을박정희미국캐나다문재인변희재서석구조원진대한애국당국회탄핵무효인권침해', '조원진난동', '조원진사자후', '박대통령조원진서울역태극기집회문화무죄이완구홍준표대한애국당정치자한당더불어민주유튜브박정희검찰법원', '박근혜대통령보수대구태극기집회대한애국당조원진자한당홍준표문재인국민의당민심국회대한민국여론친박']"
정규재tv,101,0,[]
대한애국당,100,3,"['박근혜대통령새마을박정희미국캐나다문재인변희재서석구조원진대한애국당국회탄핵무효인권침해', '박대통령조원진서울역태극기집회문화무죄이완구홍준표대한애국당정치자한당더불어민주유튜브박정희검찰법원', '박근혜대통령보수대구태극기집회대한애국당조원진자한당홍준표문재인국민의당민심국회대한민국여론친박']"
포항,100,22,"['포항지진', '포항여고', '문재인포항', '문재인포항여고', '포항지진영상', '포항지진방송', '포항지진대피', '포항지진영상자료', '포항지진cctv', '포항영상', '포항맛집', '경북포항시', '포항지진피해', '포항지진원전', '포항날씨', '경북포항지진', '포항지진5.5', '포항여자고등학교', '문재인포항방문', '후포항', '포항구룡포과메기', '포항여진']"
