SciTech_tags,number,overlap_num,overlap_word
frequency,2,0,[]
cloefeldman,2,0,[]
explainyannyorlaurel,2,0,[]
whichdoyouhear,2,0,[]
audiotricks,2,0,[]
yaurel,2,0,[]
whatcolouristhisdress,2,0,[]
solved,2,1,['solved:yannyorlaurel']
thescienceofyannyvs.laurel,2,0,[]
scienceofyannyorlaurel,2,0,[]
whatdoyouhear,2,0,[]
作ってみた,2,0,[]
doyouhearyannyorlaurel,2,0,[]
thescienceoflaurel,2,0,[]
?ぎ方,2,0,[]
?倒的不審者の極み,2,0,[]
whetstone,2,0,[]
박민찬,2,0,[]
풍수지리,2,0,[]
풍수직설,2,0,[]
풍수만설,2,0,[]
도선풍수,2,0,[]
무기,2,0,[]
표창,2,0,[]
검,2,0,[]
철사,2,0,[]
sharpen,2,0,[]
to,2,13,"['bostondynamics', 'tutorial', 'ryanheffington', 'bestof2017', 'cryptocurrency', 'howto', 'whetstone', 'roomtour', 'triplemonitorsetup', 'setuptour', 'crypto', 'howtoclean', 'howtomake']"
stropping,2,0,[]
sharp,2,2,"['sharpen', 'sharpest']"
?ぐ,2,0,[]
作り方,2,0,[]
kitchenknife,2,0,[]
sharpest,2,0,[]
作製,2,0,[]
ゼラチン,2,0,[]
jell-o,2,0,[]
?ぎ,2,1,['?ぎ方']
kiwami,2,0,[]
asmr,2,0,[]
作成,2,0,[]
how,2,4,"['howto', 'howtoclean', 'wowshow', 'howtomake']"
jacksfilms,2,0,[]
make,2,1,['howtomake']
自作,2,0,[]
砥石,2,0,[]
jello,2,0,[]
audioillusion,2,1,['thescienceofaudioillusions']
roomtour,2,0,[]
solved:yannyorlaurel,2,0,[]
videogames,2,0,[]
steelseries,2,0,[]
fortnitefunny,2,0,[]
fortnitebattleroyale,2,0,[]
applepencilforipad,2,0,[]
ultimategamingsetup,2,0,[]
ipadapplepencil,2,0,[]
applepencil,2,4,"['applepencilforipad', 'ipadapplepencil', 'thenewipadandapplepencil', 'ipadandapplepencil']"
아이패드,2,10,"['애플아이패드', '새아이패드애플펜슬', '애플펜슬아이패드', '아이패드애플펜슬', '노트필기아이패드', '애플아이패드6세대', '아이패드6세대', '6세대아이패드', '2018아이패드', '뉴아이패드']"
애플아이패드,2,1,['애플아이패드6세대']
bts,2,2,"['lgxbts', 'btsarmy']"
fortnitepc,2,0,[]
games,2,1,['videogames']
dreamdesk,2,0,[]
desksetup,2,0,[]
dc,2,1,['handcraft']
해결,2,1,['호기심해결사']
humanoidrobot,2,1,['humanoidrobots']
호기심,2,2,"['호기심해결사', '호기심천국']"
뜬소문,2,0,[]
디스커버리채널,2,0,[]
mythbusters,2,0,[]
호기심해결사,2,0,[]
헛소문,2,0,[]
증명,2,0,[]
미신,2,0,[]
호기심천국,2,0,[]
디오스노크온,2,2,"['lg디오스노크온', 'lg디오스노크온매직스페이스']"
fortnite,2,5,"['fortnitefunny', 'fortnitebattleroyale', 'fortnitepc', 'fortnitebest', 'fortnitesetup']"
computer,2,0,[]
laurel,2,7,"['yannyorlaurel', 'explainyannyorlaurel', 'thescienceofyannyvs.laurel', 'scienceofyannyorlaurel', 'doyouhearyannyorlaurel', 'thescienceoflaurel', 'solved:yannyorlaurel']"
pc,2,5,"['fortnitepc', 'pcgamingsetup', 'pcbuild', 'gamingpc', 'pcgaming']"
thescienceofyanny,2,1,['thescienceofyannyvs.laurel']
don'tflinch,2,0,[]
caseyneistattechreview,2,0,[]
yanny,2,7,"['yannyorlaurel', 'explainyannyorlaurel', 'thescienceofyannyvs.laurel', 'scienceofyannyorlaurel', 'doyouhearyannyorlaurel', 'solved:yannyorlaurel', 'thescienceofyanny']"
pitch,2,0,[]
gaming,2,8,"['ultimategamingsetup', 'pcgamingsetup', 'gamingsetup', 'gamingroom', 'gamingpc', 'epicgamingsetup', 'bestgamingsetup', 'pcgaming']"
pcgamingsetup,2,0,[]
gamingsetup,2,4,"['ultimategamingsetup', 'pcgamingsetup', 'epicgamingsetup', 'bestgamingsetup']"
pcbuild,2,0,[]
setup,2,10,"['ultimategamingsetup', 'desksetup', 'pcgamingsetup', 'gamingsetup', 'triplemonitorsetup', 'setuptour', 'rgbsetup', 'epicgamingsetup', 'bestgamingsetup', 'fortnitesetup']"
unboxtherapy,2,0,[]
fortnitebest,2,0,[]
triplemonitorsetup,2,0,[]
gamingroom,2,0,[]
playerunknownbattlegrounds,2,0,[]
video,2,1,['videogames']
setuptour,2,0,[]
gamingpc,2,0,[]
rgbsetup,2,0,[]
workstation,2,0,[]
epicgamingsetup,2,0,[]
bestgamingsetup,2,0,[]
build,2,1,['pcbuild']
fortnight,2,0,[]
pcgaming,2,1,['pcgamingsetup']
pubg,2,0,[]
