Game_tags,number,overlap_num,overlap_word
[none],122,0,[]
sandboxnetwork,117,0,[]
테드,113,9,"['테드tv', '테드라이더', '라이더테드', '테드찡', 'rush테드', '러쉬테드', '테드초고수', '테드프리파이어', '프리파이어테드']"
배틀그라운드,112,13,"['배틀그라운드에땁', '배틀그라운드화염병', '배틀그라운드한국인', '배틀그라운드김블루', '김블루배틀그라운드', '배틀그라운드한국', '배틀그라운드석궁', '프리파이어배틀그라운드', '배틀그라운드모바일', '모바일배틀그라운드', '배틀그라운드핵', '배틀그라운드고수', '배틀그라운드스나']"
rider,108,21,"['rider게임', 'rider고수', 'rider공략', 'rider버그판링크', 'riderlevel12', 'rider12단계', 'ridergame', 'rider버그판', 'riderhighscore', 'rider300', 'rider200', 'hogrider', '밍모rider', 'rider밍모', 'riderㅊhips', 'ridersecret', 'riderworldrecord', 'rider543', 'rider500', 'rider2', 'ketchapprider']"
ted,105,1,['tedtv']
ddotty,104,0,[]
sandbox,98,1,['sandboxnetwork']
마인크래프트모드,97,7,"['마인크래프트모드쇼케이스', '마인크래프트모드어드벤쳐', '마인크래프트모드스토리리뷰', '마인크래프트모드스토리', '마인크래프트모드리뷰', '마인크래프트모드매치', '마인크래프트모드상황극']"
칠각별,96,7,"['칠각별도티탈', '칠각별셀카', '칠각별코엑스', '미션야생칠각별', '칠각별흑역사', '칠각별롯데월드', '칠각별벌칙']"
수현,96,0,[]
코아,96,0,[]
쵸쵸우,93,1,['도티쵸쵸우']
악어,91,6,"['마인크래프트악어', '악어마인크래프트', '랜덤맨악어', '악어유튜브', '악어거북', 'bj악어']"
sleepground,91,1,['2017sleepgroundawards']
각별,87,8,"['칠각별', '칠각별도티탈', '칠각별셀카', '칠각별코엑스', '미션야생칠각별', '칠각별흑역사', '칠각별롯데월드', '칠각별벌칙']"
game,85,38,"['mobilegame', 'ridergame', 'netmarblegames', 'videogame(industry)', 'daumgame', 'videogames', 'mariandgames', 'clashroyalegame', 'supercellgame', 'games', 'vrgame', 'gameplaylol', 'videogame', 'riotgames', '#mobilegame', '#game', 'ongamenet', 'threekingdomsgame', 'newtotalwargame', 'gamethrough', 'slashergameshorrorgames', 'chinagame', 'fullgame', 'clashofclansgameplay', 'dorothygames', 'videogameawards', 'gameplay', 'videogameindustry', 'flashgame', 'bestgamedirection', 'gameoftheyear', 'thegameawards2017', 'thegameawards', 'spotvgames', 'nuclealrbombgame', 'eagame', 'dunkshotgame', 'ketchappgame']"
mobilegame,85,1,['#mobilegame']
쵸우,83,2,"['쵸쵸우', '도티쵸쵸우']"
