fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시)_비율,도로(도시)_비율,일반주택지(도시)_비율,교육/군사시설(도시)_비율,유원지(임지)_비율,공공용지(도시)_비율,인공녹지(도시)_비율,하천(수계)_비율,고층주택지(도시)_비율,공업시설(도시)_비율,침엽수림(임지)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,처리장(도시)_비율,저수지/늪(수계)_비율,자연초지(임지)_비율,발전시설(도시)_비율,공업나지(도시)_비율,인공초지(임지)_비율,경지정리답(농지)_비율,활엽수림(임지)_비율,철로(도시)_비율,골프장(임지)_비율,혼합수림(임지)_비율,가축/사육시설(도시)_비율,공원묘지(임지)_비율,과수원(농지)_비율,매립지(도시)_비율,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele,label
48,31.2941176470588,34,29,0.0,78.80019331919941,8.83744287149191,0.665027538103579,0.0,0.7859776423782571,0.342178153459104,0.0,0.666994503741836,0.404930103555812,9.49725586807009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.1495197147581,37.8504802852419,0.3285714285714286,0.3187772925764193,0.36752136752136744,0.34285714285714297,0.3333333333333335,0.38888888888888884,0.04694167852062589,0.03333333333333333,0.030579232438004762,0.336283185840708,0.054409005628517824,1
119,23.9113924050633,33,16,0.415182819428128,89.6445237991778,7.95280608532552,0.10253305349627198,0.0,0.0,0.0,0.0,0.211849310668023,0.0,1.67310493190429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6028832794735,25.3971167205265,0.2785714285714286,0.3100436681222708,0.26495726495726485,0.5142857142857142,0.5,0.5555555555555554,0.17780938833570414,0.10000000000000002,0.12975487244513176,0.6371681415929203,0.18949343339587243,1
165,27.884615384615397,34,23,0.6974172169534171,94.0147942107924,0.966735421365699,0.254538937555546,0.0,1.5749629160439598,0.131717795315567,0.132440919120631,1.6597388256414198,0.0,0.0,0.0,0.0,0.0,0.268793049827995,0.0,0.0,0.0,0.0,0.0,0.0,0.298860707383313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9975435837118,7.00245641628825,0.27142857142857146,0.262008733624454,0.3418803418803417,0.8571428571428572,0.9444444444444446,0.7777777777777777,0.10526315789473685,0.02,0.06069080621445994,0.5575221238938053,0.13883677298311445,3
45,31.0555555555556,34,28,1.07138040444409,94.41999313472179,2.08872254722776,0.3693787037049841,0.0,0.197400593047742,0.0,0.249458543765829,1.13114329484455,0.0,0.0,0.0,0.0,0.0,0.21034888118582096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26217389705748395,0.0,0.0,0.0,0.0,0.0,0.0,72.4469943904417,27.5530056095583,0.3178571428571427,0.244541484716157,0.48717948717948706,0.7428571428571429,0.7222222222222223,0.7777777777777777,0.017069701280227598,0.03,0.01562937566799772,0.18141592920353983,0.016885553470919322,1
111,30.9166666666667,33,29,0.478701724069606,93.13901238782101,5.08671641567922,0.24136071566089,0.0,0.15985037053083898,0.0,0.0,0.8943583862384058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2401451148123,26.759854885187696,0.29999999999999993,0.2358078602620085,0.4615384615384615,0.6285714285714286,0.6111111111111112,0.6666666666666665,0.032716927453769556,0.03333333333333333,0.02822301035318831,0.3185840707964602,0.03564727954971857,1
124,29.431818181818198,34,25,0.0,88.33111512386971,3.11797644651112,1.43350687824794,0.0,0.0,0.0,0.0,0.0646548683809472,0.0,6.03773365460102,0.0,0.0,0.0,0.0,0.0292187930437974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985794235345442,0.0,0.0,96.41130865258509,3.5886913474149003,0.3285714285714286,0.3231441048034934,0.35897435897435886,0.40000000000000036,0.38888888888888884,0.4444444444444442,0.20910384068278806,0.05,0.15043048929713904,0.6858407079646017,0.2589118198874297,3
112,30.7647058823529,35,28,0.764203037885904,93.2904438042487,3.64306194407802,0.544275029338111,0.0,0.34960570427754,0.0701216775234311,0.0,1.33828880264832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0971105940892,60.9028894059108,0.2857142857142857,0.24017467248908286,0.4188034188034187,0.6095238095238114,0.5555555555555554,0.6666666666666665,0.055476529160739696,0.05333333333333334,0.043243511945374846,0.4026548672566372,0.054409005628517824,0
120,29.542857142857102,34,26,0.206170123764693,90.7433354726348,6.34344468813818,1.44095486309544,0.0,0.0,0.0439578303841732,0.0,0.183642944693401,0.0,1.03849407728935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.7031461678753,32.296853832124704,0.3214285714285715,0.3449781659388643,0.299145299145299,0.40000000000000036,0.38888888888888884,0.4444444444444442,0.1763869132290185,0.10666666666666667,0.15024729302536882,0.579646017699115,0.18386491557223264,1
44,32.3333333333333,34,30,1.23560508966005,91.9801772866132,2.16731037184429,0.0910643831408377,0.0,0.0766094254061256,0.00969888783917097,0.0,2.12708412012597,0.5638834506982621,0.0,0.0,0.0,0.0,0.0,0.0,0.0444750443176008,0.121037123899052,0.0,0.0,0.0,0.0,1.58305481645541,0.0,0.0,0.0,0.0,0.0,0.0,86.3948113442433,13.6051886557567,0.3321428571428572,0.2532751091703055,0.5042735042735041,0.7142857142857144,0.7222222222222223,0.7222222222222219,0.018492176386913226,0.023333333333333334,0.019049921687054543,0.3938053097345133,0.022514071294559096,1
184,25.185185185185198,31,21,1.27001946728608,93.35869973390498,0.0256333218790231,0.102276500435571,0.0,2.2295972890917097,0.0989626008717666,0.0,2.5573785499386803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0608123654432153,0.0,0.0,0.0,0.0,0.296620171148969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.475494524929,19.524505475071003,0.2785714285714286,0.2532751091703055,0.37606837606837595,0.6285714285714286,0.6666666666666665,0.6111111111111112,0.09388335704125178,0.043333333333333335,0.0523751235361244,0.5221238938053097,0.11069418386491557,1
