emd_kor_nm,emd_cd,max_tmp,avg_tmp
자양동,11215105,38,29.475728155339805
풍납동,11710103,35,28.75609756097561
양평동4가,11560128,33,31.11111111111111
마포동,11440107,33,29.4
당산동6가,11560116,32,31.25
둔촌동,11740106,34,29.882978723404257
한강로2가,11170125,35,32.714285714285715
양평동3가,11560127,34,27.649350649350648
성내동,11740108,34,32.333333333333336
원효로2가,11170113,35,33.0
신계동,11170123,35,32.42857142857143
청암동,11170116,32,28.153846153846153
산천동,11170115,33,31.5
원효로3가,11170117,35,33.0
용문동,11170121,35,33.75
용산동3가,11170126,37,34.42857142857143
원효로4가,11170118,36,29.06451612903226
압구정동,11680110,36,28.932539682539684
당산동4가,11560114,32,31.0
당산동5가,11560115,32,31.0
용산동4가,11170103,38,33.371428571428574
신천동,11710102,33,28.133333333333333
도원동,11170120,34,32.5
한강로3가,11170128,35,32.83870967741935
이촌동,11170129,35,28.505827505827504
보광동,11170136,37,29.457831325301203
영등포동8가,11560109,32,31.25
신정동,11470101,37,31.145
청담동,11680104,34,28.02054794520548
용산동5가,11170127,39,34.53125
신사동,11680107,34,29.25
동빙고동,11170132,36,30.53488372093023
당산동3가,11560113,34,31.75
용산동6가,11170135,43,33.4921875
영등포동7가,11560108,34,31.142857142857142
신창동,11170114,34,33.5
양평동1가,11560125,36,33.22222222222222
당산동2가,11560112,33,31.25
양평동2가,11560126,35,33.22222222222222
당산동1가,11560111,34,32.09090909090909
영등포동6가,11560107,34,31.666666666666668
서빙고동,11170133,36,29.4070796460177
방이동,11710111,36,31.717241379310344
주성동,11170134,36,29.359375
문래동6가,11560124,34,31.9
잠원동,11650106,34,29.4009009009009
영등포동2가,11560103,34,31.545454545454547
삼성동,11680105,35,28.74342105263158
문래동3가,11560121,35,27.535714285714285
잠실동,11710101,40,30.519402985074628
논현동,11680108,35,31.81081081081081
영등포동5가,11560106,34,32.5
영등포동3가,11560104,33,31.5
신길동,11560132,36,28.15
영등포동1가,11560102,33,31.6
문래동5가,11560123,36,32.578947368421055
신도림동,11530101,36,32.10666666666667
영등포동4가,11560105,32,24.87878787878788
영등포동,11560101,34,24.136986301369863
문래동4가,11560122,37,34.0
노량진동,11590101,35,30.333333333333332
본동,11590104,33,28.28421052631579
대방동,11590108,35,30.444444444444443
문래동2가,11560120,36,33.21739130434783
문래동1가,11560119,37,26.037735849056602
반포동,11650107,34,28.22007722007722
흑석동,11590105,34,27.978571428571428
도림동,11560118,34,24.602941176470587
고척동,11530106,34,30.62162162162162
궁동,11530109,35,29.632653061224488
대치동,11680106,36,31.036363636363635
구로동,11530102,36,28.75
송파동,11710104,34,30.636363636363637
대림동,11560133,34,27.875
개봉동,11530107,34,30.06896551724138
상도동,11590102,34,24.853107344632768
역삼동,11680101,34,24.313479623824453
동작동,11590106,35,29.025210084033613
오금동,11710112,34,26.88888888888889
석촌동,11710105,36,31.51219512195122
삼전동,11710106,35,31.192307692307693
상도1동,11590103,33,32.4
오류동,11530108,38,30.7319587628866
서초동,11650108,34,23.230255839822025
마천동,11710114,34,30.256410256410255
온수동,11530110,38,31.747252747252748
가락동,11710107,39,29.718045112781954
일원동,11680114,35,24.667910447761194
신대방동,11590109,32,29.695652173913043
방배동,11650101,33,22.323204419889503
봉천동,11620101,34,24.00284090909091
거여동,11710113,37,32.38297872340426
개포동,11680103,35,23.469973890339425
사당동,11590107,35,26.78846153846154
수서동,11680115,36,30.385245901639344
도곡동,11680118,34,26.00769230769231
신림동,11620102,36,21.722100656455144
항동,11530112,35,30.556818181818183
문정동,11710108,34,31.473684210526315
천왕동,11530111,34,30.14
가리봉동,11530103,33,31.125
